Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Gelatt Lake - D,,,,,,,,,,
,6/17/2013,0,956,16.38,7.97,2956,5.43,71.6,332,
,,0.5,958,16.23,7.93,2938,5.16,68,326,
,,1,1000,15.83,7.93,2936,5.16,67.3,318,
,,1.5,1000,15.51,7.92,2936,5.24,67.8,243,
,,,,,,,,,,
,7/29/2013,0,935,18.3,8.09,3123,3.87,53,147,
,,0.5,937,18.3,8.24,3122,3.83,52.7,171,
,,1,938,18.2,8.25,3120,3.75,51.6,125,
,,1.5,940,17.9,8.09,3117,3,40.8,70,
,,,,,,,,,,
,9/11/2013,0,1142,15.7,8.31,2963,4.21,54.5,289,
,,0.5,1144,15.7,8.27,2965,4.21,54.5,286,
,,1,1145,15.7,8.25,2961,4.2,54.4,284,
,,1.5,1146,15.7,8.22,2960,4.22,54.6,278,
,,2,1147,15.7,8.21,2945,4.23,54.8,261,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
