Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Big Sandy Reservoir - LPD,,,,,,,,,,
,,,,,,,,,,
,6/16/2014,0,1150,14.69,7.39,96.8,7.41,94.4,417,
,,0.5,,14.6,7.17,96.9,7.37,94,420,
,,1,,14.56,7.27,97.4,7.37,93.6,420,
,,1.5,,14.5,7.28,97.3,7.35,93.6,420,
,,2,,14.47,7.29,96.8,7.32,93.1,420,
,,2.5,,14.46,7.29,96.9,7.31,93,418,
,,3,,14.44,7.28,96.8,7.31,92.8,418,
,,4,,14.42,7.27,97.3,7.32,92.9,418,
,,5,,14.41,7.28,97.3,7.32,92.9,418,
,,6,,14.38,7.3,97,7.33,93,417,
,,7,,14.36,7.29,96.8,7.33,93.1,417,
,,8,,14.36,7.29,97,7.34,93,417,
,,9,,14.34,7.29,96.9,7.34,92.9,417,
,,10,,14.31,7.29,96.9,7.34,93,416,
,,11,,14.25,7.31,97,7.34,92.8,416,
,,12,,14.26,7.31,96.7,7.34,92.9,415,
,,13,,14.25,7.31,97,7.35,93,415,
,,14,,14.25,7.31,97.1,7.34,92.9,415,
,,15,,14.24,7.31,97,7.32,92.5,415,
,,,,,,,,,,
,7/21/2014,0,1139,19.46,7.61,80.4,6.42,89.1,380,
,,0.5,1141,19.41,7.22,80.5,6.4,89.1,394,
,,1,,19.36,7.33,80.4,6.42,89.1,395,
,,1.5,,19.33,7.35,80.3,6.4,88.8,396,
,,2,,19.04,7.27,80.5,6.29,87.7,398,
,,2.5,,18.98,7.28,80.3,6.25,86.2,400,
,,3,,18.98,7.3,80.2,6.3,86.7,401,
,,4,,18.93,7.29,80.3,6.25,86.1,402,
,,5,,18.94,7.27,80.5,6.22,85.6,404,
,,6,,18.83,7.24,80.2,6.18,84.8,405,
,,7,,18.78,7.21,80.5,6.15,84.4,400,
,,8,,18.72,7.18,80.3,6.09,83.7,408,
,,9,,18.68,7.14,80.7,6.01,82.5,409,
,,10,,18.61,7.13,80.2,5.96,81.5,410,
,,11,,18.36,7.03,80.6,5.66,77.3,413,
,,12,,17.54,6.97,82.9,5.08,67.7,415,
,,13,,17.17,6.86,83.5,4.67,62,417,
,,14,,16.28,6.74,88.2,3.28,42.6,421,
,,,,,,,,,,
,9/15/2014,0,1125,13.8,7.53,99.1,7.62,93.8,340,
,,0.5,,12.8,7.46,99.4,7.68,92.6,348,
,,1,,12.7,7.57,99.3,7.65,91.8,350,
,,1.5,,12.6,7.56,99.2,7.64,91.5,353,
,,2,,12.6,7.59,99.3,7.61,91.3,354,
,,2.5,,12.5,7.71,99.3,7.62,91.3,354,
,,3,,12.5,7.65,99.7,7.62,91.1,355,
,,4,,12.5,7.65,99,7.64,91.5,357,
,,5,,12.8,7.65,99.4,7.64,91.3,358,
,,6,,12.5,7.73,99.2,7.62,91.2,358,
,,7,,12.5,7.77,99.3,7.67,91.6,359,
,,8,,12.4,7.71,99.2,7.61,90.8,360,
,,9,,12.4,7.66,99.6,7.57,90.3,361,
,,10,,12.3,7.63,99.7,7.48,89,363,
,,11,,12.1,7.59,99.9,7.43,87.9,364,
,,12,,11.8,7.51,100,7.17,84.2,367,
,,13,,11.7,7.46,101,6.95,81.2,369,
