Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Lake DeSmet - LPD,,,,,,,,,
,,2.5,,18.4,8.09,624.4,7.46,95.3,317
,,3,,18.39,8.06,624.2,7.47,95.3,317
,,4,,18.33,8.08,624.6,7.45,95,316
,,5,,18.3,8.09,624.5,7.47,95.2,316
,,6,,18.25,8.08,623.7,7.49,95.2,316
,,7,,18.19,8.02,624,7.44,94.5,315
,,8,,18.16,8.01,624,7.43,94.5,315
,,9,,18.15,7.99,624,7.41,94.2,315
,,10,,18.12,8.04,624.3,7.41,94,315
,,11,,18.1,8.01,623.8,7.4,93.9,315
,,12,,18.07,8.06,623.8,7.35,93,315
,,13,,18.03,8.06,623.9,7.28,92.3,316
,,14,,17.97,7.93,624.3,7.2,91.1,316
,,15,,17.84,7.92,623.9,7.15,90.2,316
,,20,,14.85,7.47,627.6,5.85,69.3,323
,,25,,12.77,7.13,632.1,4.78,53.9,326
,,30,,12.59,7.1,633.5,4.62,52.1,326
,,31,,12.55,7,635,4.59,51.6,326
