Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Sederlin Reservoir - D,,,,,,,,,
,6/13/2013,0,1420,17.44,8.57,689.3,8.54,113.1,327
,,0.5,1421,17.46,8.41,689.7,8.52,113,337
,,0.8,1422,17.44,8.66,690.2,8.54,113.3,346
,,,,,,,,,
,7/24/2013,0,1229,21,8.49,715.5,7.24,104.1,275
,,0.5,1230,19.3,8.33,721,7.08,97.7,278
,,0.7,1231,19.15,8.46,719,7.58,105.8,272
,,,,,,,,,
,9/10/2013,0,1005,15.3,8.62,790,5.74,74,296
,,0.5,1007,15.3,8.61,790,5.66,72.6,274
,,,,,,,,,
,6/4/2014,0,1628,16.9,7.95,762.3,7.68,103.1,258
,,0.5,1629,16.9,7.99,764.8,7.69,103.1,253
,,1,1630,16.8,8.05,764.8,7.72,103.3,249
,,1.5,1631,16.7,7.95,765.8,7.71,102.8,248
,,2,1632,15.8,8.1,758,8.01,104.7,246
,,2.5,1633,14.3,8.02,737.2,7.06,89.5,246
,,3,1634,13.6,7.93,769.8,6.12,75.6,247
,,4,1635,12.8,7.88,778.5,4.93,60.1,248
,,,,,,,,,
,7/22/2014,0,1052,18.9,8.33,529.1,6.58,91.8,294
,,0.5,1053,18.1,8.33,526.9,6.59,90.4,293
,,1,1055,17.8,8.32,526.2,6.31,86.1,292
,,1.5,1056,17.7,8.3,526.5,6.32,86.1,290
,,2,1057,17.6,8.26,528.2,5.99,81.4,290
,,2.5,1059,17.5,8.21,529.2,5.66,76.7,289
,,3,1059,17.4,8.19,531.3,5.54,74.9,289
,,4,1100,17.3,8.16,532.7,5.31,71.7,289
,,5,1102,15.7,7.91,665.2,0.48,6,136
,,5.4,1103,13.7,7.87,688.1,0.18,2.3,63
