Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Little Sage Creek Reservoir - D,,,,,,,,,,
,6/12/2013,0,1206,16.2,8.5,4761,7.01,91.4,333,
,,0.5,1208,15.83,8.46,4764,7.27,94.5,331,
,,1,1209,14.15,8.58,4750,6.54,81.5,325,
,,,,,,,,,,
,7/23/2013,0,1056,16.67,9.15,6395,9.25,124.8,304,
,,0.5,1057,16.05,7.74,6399,8.92,119.2,323,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
