Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Saratoga Lake - D,,,,,,,,,
,6/12/2013,0,1515,17.58,8.9,359.3,8.26,109.4,359
,,0.5,1516,17.58,8.82,359.2,8.27,109.4,360
,,1,1517,17.56,8.83,359.3,8.26,109.5,360
,,1.5,1518,17.56,8.83,359.2,8.27,109.5,360
,,2,1519,17.42,8.77,359.2,8.26,109.3,361
,,2.5,1522,17.34,8.78,359.2,8.28,109.1,359.8
,,3,1523,17.2,8.8,358.1,8.39,110.2,360
,,3.2,1525,17.09,8.8,359,8.45,110.7,357
,,,,,,,,,
,7/23/2013,0,1421,21.4,9.01,352.8,8.46,123.4,268
,,0.5,1424,21.5,9.04,353.7,8.48,123.3,267
,,1,1426,21.4,9.08,353.6,8.41,122.5,265
,,1.5,1428,20.8,9.03,354.4,7.37,106.1,266
,,2,1430,20.1,8.99,350.7,6.85,97.1,267
,,2.5,1432,20.1,8.99,353,6.8,96.3,267
,,3,1433,19.8,8.9,360,4.19,59.1,268
,,,,,,,,,
,9/10/2013,0,1258,18.9,8.34,376,6.04,83.5,289
,,0.5,1300,18.8,8.31,376,5.95,82.1,288
,,1,1301,18.3,8.27,376,5.64,77,286
,,1.5,1304,18.2,8.24,377,5.67,77.3,284
,,2,1306,18.1,8.23,376,5.73,78,283
,,2.5,1308,18.1,8.22,375,5.86,79.8,283
,,3,1310,18,8.18,376,5.35,72.7,283
,,,,,,,,,
,6/11/2014,0,1737,17.2,8.74,343.4,8.16,110.4,294
,,0.5,1739,17.2,8.67,343.7,8.2,110.8,294
,,1,1740,17.2,8.79,333.9,8.19,110.8,289
,,1.5,1741,17.2,8.76,343.5,8.2,110.8,287
,,2,1743,17.2,8.77,343.5,8.19,110.6,286
,,2.5,1744,17.2,8.76,343.2,8.23,111.1,284
,,2.9,1744,17.1,8.71,343.1,8.32,112.5,282
,,,,,,,,,
,7/21/2014,0,1655,20.3,8.28,378.5,4.6,68.8,299
,,0.5,1657,20.3,8.46,378.1,4.62,66,284
,,1,1658,20.3,8.25,378,4.59,65.5,284
,,1.5,1659,20.3,8.21,378,4.6,65.8,283
,,2,1659,20.3,8.19,377.8,4.57,65.2,283
,,2.5,1700,20.3,8.17,378,4.55,65,281
,,2.8,1701,20.3,8.16,377.9,4.54,64.9,281
,,,,,,,,,
,9/9/2014,0,1428,16.7,8.06,394.1,6.33,85.2,227
,,0.5,,16.7,8.04,394.2,6.21,83.8,227
,,1,,16.6,8.03,394.4,6.13,82.7,228
,,1.5,,16.6,8.03,394.3,6.15,82.9,229
,,2,,16.6,8.03,394.8,6.09,82.1,270
,,2.5,,16.5,8,395.1,5.49,73.6,231
,,3,,16.4,7.96,396.7,4.98,66.2,235
,,3.2,1436,16.4,7.94,395.6,4.66,62.7,233
