Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Campbell Lake - D,,,,,,,,,,
,6/21/2013,0,848,16.67,8.37,1810,6.01,82,253,
,,0.5,848,16.52,8.24,1813,5.74,78.1,254,
,,1,849,16.32,8.38,1808,5.49,74.3,252,
,,1.5,852,16.19,8.38,1810,5.16,69.6,251,
,,2,854,15.9,8.38,1810,4.71,63.2,250,
,,2.5,855,15.77,8.25,1812,4,25.3,-52,
,,,,,,,,,,
,7/30/2013,0,1050,16.33,8.38,1909,4.57,59.8,274,
,,0.5,1052,16.33,8.44,1911,4.61,60.4,274,
,,1,1053,16.26,8.5,1911,4.54,59.3,274,
,,1.5,1054,16.24,8.45,1912,4.47,58.4,274,
,,2,1055,16.2,8.44,1911,4.23,55.4,265,
,,,,,,,,,,
,9/16/2013,0,1105,14.5,8.02,1913,6.99,88.4,269,
,,0.5,1106,14.2,8.05,1928,6.98,87.9,268,
,,1,1107,14.2,8.26,1927,6.9,86.7,264,
,,1.5,1108,14.1,8.32,1927,6.54,82.2,263,
,,2,1110,13.9,8.37,1924,5.36,66.9,261,
,,2.5,1111,13.8,8.32,1716,0.3,4.2,209,
,,,,,,,,,,
,6/3/2014,0,0:00,15.8,8.56,1313,6.55,89.2,305,
,,0.5,848,15.8,8.93,1306,6.54,89.1,306,
,,1,850,15.8,8.73,1306,6.48,88.1,300,
,,1.5,856,15.7,8.71,1308,6.42,87.3,298,
,,2,854,15.7,8.67,1308,6.35,86.2,296,
,,2.5,856,15.4,8.64,1309,4.41,57.9,295,
,,2.8,857,15.1,8.62,1312,3.21,43.2,145,
,,,,,,,,,,
,7/29/2014,0,816,19.5,8.72,1351,8.39,121.7,294,
,,0.5,,19.4,8.78,1351,8.34,121,291,
,,1,,19.3,8.81,1352,8.06,116.6,289,
,,1.5,,18.3,8.74,1350,4.37,61.9,289,
,,2,,17.8,8.73,1351,3.5,49.1,287,
,,2.5,,17.4,8.68,1353,0.72,9.7,276,
,,2.7,827,17.3,8.67,1355,0.16,2.2,53,
,,,,,,,,,,
,9/17/2014,0,909,13.2,8.54,1351,6.74,85.8,232,
,,0.5,,13.2,8.51,1352,6.74,85.9,230,
,,1,,13.2,8.76,1351,6.71,85.5,227,
,,1.5,,13.2,8.84,1353,6.7,85.2,224,
,,2,,13.1,8.88,1352,6.57,83.6,222,
,,2.5,,13,8.93,1353,6.43,81.5,210,
,,3,919,12.9,8.91,1350,3.23,35.8,186,
