Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Wallis Reservoir ,6/13/2013,0,1057,16.63,8.83,837.2,9.54,122.2,325
,,0.5,1058,16.65,8.8,837.3,9.55,124.4,329
,,1,1059,16.64,8.79,837.6,9.56,124.7,331
,,1.5,1100,16.65,8.81,837.1,9.59,125.1,332
,,2,1102,16.62,8.81,836.8,9.66,125.9,332
,,2.5,1122,16.33,8.85,839,8.93,115.7,208
,,3,1122,16.3,8.83,837.6,9.31,120.7,199
,,,,,,,,,
,7/24/2013,0,1032,19.8,9.59,838.3,7.2,100.7,193
,,0.5,1034,19.8,9.65,838.3,7.12,99.6,179
,,1,1035,19.7,9.68,837.7,7.01,98.1,179
,,1.5,1037,19.4,9.81,836.2,8.78,122,165
,,2,1039,19.3,9.83,836.2,8.05,111.5,162
,,,,,,,,,
,,,,,,,,,
,9/17/2013,0,1350,15.8,9.4,886,9.8,127.2,222
,,0.5,1251,15.8,9.47,886,9.81,127.4,204
,,1,1352,15.8,9.47,886,9.79,127.4,187
,,1.5,1353,15.8,9.52,886,9.88,128.2,177
,,2,1355,15.7,9.6,886,10.38,134.4,180
