Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Boysen Reservoir - LPD,,,,,,,,,,
,,24.23783,,14.42418,8.547531,558.7418,1.265164,14.7011,-25.06247,
,,24.23633,,14.42516,8.547404,558.7233,1.26566,14.70574,-25.05867,
,,23.64259,,14.42689,8.545444,558.4378,1.277316,14.83924,-24.48701,
,,23.61318,,14.42738,8.545279,558.4153,1.278045,14.84674,-24.45935,
,,23.58377,,14.42787,8.545115,558.3928,1.278775,14.85424,-24.43169,
,,23.55437,,14.42836,8.54495,558.3702,1.279505,14.86174,-24.40403,
,,23.21238,,14.48662,8.531094,557.6369,1.307553,15.2085,-24.1246,
,,23.18383,,14.48945,8.53039,557.5958,1.309137,15.22785,-24.09947,
,,23.15527,,14.49227,8.529687,557.5548,1.31072,15.2472,-24.07434,
,,22.58317,,14.53243,8.512076,556.0939,1.342173,15.62691,-23.07053,
,,22.54811,,14.53556,8.510937,556.0076,1.344278,15.65247,-23.01565,
,,22.51304,,14.53869,8.509797,555.9213,1.346383,15.67803,-22.96077,
,,21.9881,,14.57684,8.492512,555.2872,1.431988,16.68882,-22.26235,
,,21.95137,,14.57947,8.491331,555.2272,1.436697,16.74458,-22.20861,
,,21.91463,,14.58211,8.490149,555.1672,1.441405,16.80035,-22.15487,
,,21.8779,,14.58474,8.488969,555.1072,1.446113,16.85611,-22.10114,
,,21.64848,,14.61634,8.480929,555.1466,1.537939,17.93904,-21.57274,
,,21.6268,,14.61864,8.480192,555.1351,1.544059,18.01125,-21.53298,
,,21.60512,,14.62094,8.479455,555.1237,1.55018,18.08346,-21.49322,
,,21.10028,,14.65693,8.464808,554.2468,1.592212,18.58852,-20.25406,
,,21.07156,,14.65928,8.463948,554.2055,1.596055,18.63429,-20.18428,
,,21.04285,,14.66164,8.463087,554.1642,1.599898,18.68006,-20.1145,
,,21.01413,,14.66399,8.462226,554.123,1.603741,18.72583,-20.04472,
,,20.44665,,14.76729,8.454366,552.7501,1.68572,19.72816,-19.16109,
,,20.40977,,14.77288,8.453698,552.6682,1.690476,19.78611,-19.0945,
,,20.37289,,14.77846,8.453031,552.5863,1.695233,19.84406,-19.02792,
,,20.07902,,14.91946,8.446796,550.8813,1.820039,21.3715,-18.48884,
,,20.05362,,14.92836,8.446336,550.7714,1.827761,21.46598,-18.44518,
,,20.02822,,14.93726,8.445875,550.6616,1.835484,21.56046,-18.40152,
,,19.47983,,15.20941,8.456045,547.077,1.937755,24.30826,-17.86814,
,,19.4474,,15.22544,8.456415,546.8688,1.945208,24.4722,-17.83155,
,,19.41498,,15.24147,8.456786,546.6607,1.952661,24.63614,-17.79495,
,,19.38255,,15.2575,8.457156,546.4526,1.960114,24.80008,-17.75835,
,,18.80738,,15.79059,8.475356,540.1469,2.225681,26.80793,-17.3604,
,,18.7684,,15.8219,8.476437,539.7692,2.240629,26.96101,-17.33017,
,,18.72942,,15.8532,8.477518,539.3915,2.255577,27.11409,-17.29994,
,,18.22954,,16.23509,8.485247,535.6708,2.584087,31.286,-16.39849,
,,18.19403,,16.26408,8.485979,535.366,2.605146,31.526,-16.34729,
,,18.15851,,16.29307,8.486712,535.0611,2.626206,31.76599,-16.29608,
,,18.123,,16.32205,8.487444,534.7562,2.647266,32.00599,-16.24488,
,,17.8716,,16.65046,8.492249,532.7403,2.968776,36.18515,-15.84819,
,,17.84934,,16.6739,8.492643,532.5665,2.990628,36.46639,-15.8112,
,,17.82708,,16.69735,8.493036,532.3928,3.01248,36.74762,-15.77421,
,,17.2882,,16.7898,8.485758,529.9083,3.154404,38.55548,-14.49744,
,,17.25739,,16.80077,8.485511,529.7482,3.167492,38.72327,-14.42867,
,,17.22658,,16.81174,8.485264,529.5881,3.180579,38.89105,-14.35989,
,,16.70924,,16.94622,8.480596,527.5054,3.419702,41.93756,-13.1041,
,,16.67336,,16.95456,8.480225,527.3555,3.434201,42.12225,-13.01751,
,,16.63747,,16.9629,8.479854,527.2054,3.4487,42.30694,-12.93091,
,,16.60159,,16.97124,8.479483,527.0554,3.463198,42.49163,-12.84432,
,,16.33109,,17.23491,8.47554,526.2202,3.681058,45.41631,-12.348,
,,16.30709,,17.25068,8.47525,526.1362,3.696749,45.62357,-12.29761,
,,16.28308,,17.26646,8.474959,526.0522,3.712441,45.83083,-12.24723,
,,15.77798,,17.41381,8.468063,522.4003,3.788399,47.94083,-10.99914,
,,15.74804,,17.42637,8.467649,522.2078,3.79664,48.10339,-10.92876,
,,15.7181,,17.43893,8.467237,522.0153,3.804882,48.26595,-10.85838,
,,15.68816,,17.4515,8.466823,521.8229,3.813124,48.4285,-10.78799,
,,15.18354,,17.6027,8.462099,520.1879,3.95971,49.35849,-9.863791,
,,15.14946,,17.613,8.461736,520.037,3.968349,49.44765,-9.794847,
,,15.11538,,17.62331,8.461371,519.8863,3.976987,49.5368,-9.725903,
,,14.6276,,17.6451,8.456533,519.5413,4.102284,51.09406,-8.303815,
,,14.59474,,17.64917,8.456212,519.493,4.111113,51.18683,-8.218697,
,,14.56189,,17.65323,8.455891,519.4446,4.119942,51.27959,-8.133578,
,,14.52903,,17.6573,8.45557,519.3962,4.128771,51.37236,-8.04846,
,,14.26175,,17.72691,8.439192,519.0452,4.220131,52.60231,-7.557584,
,,14.23933,,17.7307,8.438322,519.0208,4.226964,52.69146,-7.506069,
,,14.21691,,17.73449,8.437451,518.9964,4.233796,52.7806,-7.454554,
,,13.62358,,17.79321,8.418537,517.8793,4.26825,53.27525,-5.653257,
,,13.58937,,17.79746,8.417297,517.8177,4.271742,53.32345,-5.555803,
,,13.55516,,17.80172,8.416058,517.756,4.275235,53.37165,-5.458348,
,,12.96855,,17.90531,8.404989,516.2067,4.332899,54.20893,-4.602782,
,,12.92764,,17.91162,8.404069,516.1075,4.336442,54.26029,-4.524664,
,,12.88673,,17.91792,8.403149,516.0083,4.339987,54.31164,-4.446546,
,,12.84581,,17.92423,8.402228,515.9091,4.343531,54.363,-4.368427,
,,12.55421,,18.20518,8.399208,514.0111,4.399515,55.38682,-4.066978,
,,12.52741,,18.22099,8.398819,513.886,4.403464,55.45435,-4.033526,
,,12.50061,,18.2368,8.39843,513.7609,4.407413,55.52187,-4.000074,
,,12.01879,,18.23702,8.390562,512.1293,4.458971,56.17178,-2.776385,
,,11.98958,,18.24286,8.390116,512.0123,4.462589,56.22398,-2.711453,
,,11.96038,,18.2487,8.38967,511.8954,4.466207,56.27619,-2.646522,
,,11.93117,,18.25454,8.389225,511.7784,4.469826,56.32839,-2.58159,
,,11.26172,,18.37893,8.375476,510.3396,4.558974,57.59897,-1.093,
,,11.22057,,18.38503,8.374674,510.2381,4.564215,57.67222,-0.9989329,
,,11.17942,,18.39113,8.373872,510.1365,4.569457,57.74547,-0.9048656,
,,10.84397,,18.49907,8.364083,508.9232,4.654251,58.94844,-0.1490747,
,,10.81495,,18.50672,8.363351,508.8367,4.660032,59.03068,-0.08420713,
,,10.78593,,18.51437,8.362618,508.7502,4.665814,59.11291,-0.01933959,
,,10.18808,,18.56602,8.348367,508.1571,4.702926,60.18247,1.583279,
,,10.15209,,18.57059,8.347474,508.1049,4.706352,60.25818,1.677157,
,,10.1161,,18.57516,8.346582,508.0527,4.709779,60.33389,1.771034,
,,10.08011,,18.57973,8.34569,508.0005,4.713206,60.40959,1.864912,
,,9.44988,,18.67245,8.335172,506.6519,4.80139,61.09624,3.069881,
,,9.40715,,18.67797,8.334368,506.5751,4.80638,61.15165,3.161338,
,,9.36441,,18.68348,8.333564,506.4982,4.81137,61.20706,3.252795,
,,8.70462,,18.81003,8.327556,505.2511,4.885735,62.29809,5.22013,
,,8.65979,,18.81806,8.327048,505.1633,4.891121,62.36547,5.340501,
,,8.61496,,18.82609,8.326541,505.0756,4.896508,62.43286,5.460872,
,,8.57013,,18.83413,8.326035,504.9879,4.901895,62.50024,5.581242,
,,8.3294,,18.89668,8.304753,504.6223,4.961947,63.36058,6.237739,
,,8.30375,,18.90235,8.303614,504.5781,4.966397,63.42465,6.310913,
,,8.27809,,18.90801,8.302474,504.5339,4.970847,63.48872,6.384087,
,,7.69701,,18.92947,8.283957,503.9844,5.003605,63.93541,7.553453,
,,7.66385,,18.93185,8.282645,503.9497,5.006438,63.97471,7.62396,
,,7.6307,,18.93423,8.281334,503.9149,5.009271,64.01401,7.694467,
,,7.1076,,18.97217,8.271137,503.5961,5.071113,64.85394,9.090139,
,,7.07062,,18.97447,8.27028,503.5696,5.074795,64.904,9.181556,
,,7.03364,,18.97678,8.269423,503.5431,5.078477,64.95406,9.272972,
,,6.99665,,18.97909,8.268565,503.5166,5.082159,65.00413,9.364388,
,,6.72509,,19.09996,8.257411,503.1127,5.152605,66.06566,9.906249,
,,6.70126,,19.10648,8.256667,503.0869,5.157231,66.13344,9.961123,
,,6.67743,,19.11299,8.255922,503.061,5.161856,66.20121,10.016,
,,6.06238,,19.18046,8.252815,501.4927,5.207154,66.87414,11.10617,
,,6.02679,,19.1861,8.25244,501.4081,5.21075,66.92781,11.17059,
,,5.9912,,19.19174,8.252066,501.3234,5.214346,66.98149,11.23502,
,,5.9556,,19.19738,8.251692,501.2388,5.217942,67.03516,11.29944,
,,5.32965,,19.2932,8.248991,501.0793,5.294646,68.1554,12.02054,
,,5.28733,,19.29914,8.248793,501.0386,5.299215,68.22237,12.07758,
,,5.24501,,19.30509,8.248594,500.9979,5.303784,68.28934,12.13461,
,,4.94468,,19.36907,8.24513,499.593,5.380901,69.37325,12.61097,
,,4.91781,,19.37405,8.244905,499.5216,5.386113,69.44736,12.6485,
,,4.89093,,19.37903,8.244682,499.4503,5.391325,69.52146,12.68602,
,,4.86406,,19.38402,8.244459,499.3789,5.396536,69.59557,12.72355,
,,4.33035,,19.44545,8.23232,498.9585,5.424615,70.50677,13.94531,
,,4.2988,,19.4497,8.231681,498.9096,5.427564,70.5723,14.01268,
,,4.26724,,19.45395,8.231043,498.8607,5.430512,70.63781,14.08005,
,,3.74528,,19.47899,8.224232,498.4704,5.493482,71.03991,16.14042,
,,3.70964,,19.48146,8.223668,498.4427,5.497102,71.07789,16.26276,
,,3.674,,19.48392,8.223105,498.415,5.500722,71.11587,16.38511,
,,3.18095,,19.50444,8.222046,498.4109,5.565466,71.97023,16.29045,
,,3.14662,,19.50594,8.221862,498.4028,5.569876,72.02019,16.32565,
,,3.11229,,19.50745,8.221678,498.3947,5.574285,72.07014,16.36085,
,,3.07795,,19.50896,8.221493,498.3866,5.578694,72.12009,16.39606,
,,2.80792,,19.65701,8.227511,497.8907,5.662282,73.43159,15.82436,
,,2.78456,,19.66445,8.227771,497.867,5.66762,73.51176,15.79622,
,,2.7612,,19.6719,8.228029,497.8433,5.672958,73.59195,15.76808,
,,2.18329,,19.84205,8.254737,495.7378,5.706178,74.2779,16.357,
,,2.14945,,19.85324,8.25615,495.6256,5.709486,74.33754,16.37509,
,,2.11561,,19.86443,8.257564,495.5134,5.712796,74.39717,16.39319,
,,2.08177,,19.87561,8.258977,495.4012,5.716105,74.4568,16.41128,
,,1.58801,,19.98788,8.270715,494.2945,5.827525,76.0808,16.33937,
,,1.5526,,19.9968,8.271828,494.1983,5.833455,76.17156,16.34811,
,,1.5172,,20.00572,8.272941,494.1021,5.839385,76.26233,16.35684,
,,1.25948,,20.06667,8.296852,493.3375,5.956173,77.88428,16.23495,
,,1.23707,,20.07195,8.298241,493.2776,5.963929,77.99375,16.22811,
,,1.21466,,20.07723,8.29963,493.2178,5.971685,78.10321,16.22127,
,,0.579948,,20.12724,8.320374,493.3004,6.034494,79.00421,15.83623,
,,0.543723,,20.13092,8.321859,493.2891,6.039826,79.07974,15.81522,
,,0.507498,,20.13459,8.323344,493.2778,6.045158,79.15527,15.7942,
,,0.471274,,20.13826,8.32483,493.2665,6.05049,79.2308,15.77319,
,,0,,20.41557,8.356182,492.1909,6.193523,81.55503,14.659,
,,,,,,,,,,
,8/11/2021,25.903827,1200,15.10968,7.976973,550.706,0.02440945,0.2882954,21.22148,
,,25.668217,,15.14337,7.963419,550.6119,0.02371479,0.2803019,13.30056,
,,25.485077,,15.1381,7.958183,550.293,0.02372032,0.2803387,12.72661,
,,25.459797,,15.13871,7.957234,550.2583,0.02369853,0.2800856,12.41235,
,,24.787767,,15.15174,7.947952,550.337,0.02310646,0.2731652,12.59757,
,,24.718947,,15.15269,7.946919,550.3322,0.02305335,0.2725431,12.60973,
,,24.175517,,15.17563,7.938746,549.7814,0.02232713,0.2640852,12.77267,
,,23.904987,,15.18002,7.932447,549.6762,0.02257892,0.2670921,13.1186,
,,23.861807,,15.18118,7.931575,549.647,0.02258099,0.2671236,13.15767,
,,23.338237,,15.19268,7.923614,549.6029,0.02302445,0.2792103,13.79947,
,,23.279617,,15.19389,7.922639,549.5959,0.02307807,0.2804974,13.87328,
,,22.643537,,15.23661,7.911348,548.9612,0.02434457,0.2889861,14.54811,
,,22.074387,,15.28008,7.904582,547.7501,0.02544191,0.3018972,14.87075,
,,21.998667,,15.28572,7.903561,547.6105,0.02559032,0.3034191,14.92337,
,,21.737147,,15.34237,7.897997,546.7711,0.02604474,0.3143691,15.28462,
,,21.692917,,15.34926,7.897249,546.6478,0.0261254,0.3158652,15.32901,
,,21.011347,,15.41226,7.88603,545.6918,0.02823604,0.3361835,15.93459,
,,20.392487,,15.44115,7.878157,545.4319,0.03316302,0.3947519,16.57592,
,,20.308837,,15.44599,7.877013,545.3757,0.03372066,0.4012077,16.65886,
,,19.994667,,15.54486,7.866801,544.7797,0.04594115,0.5477753,17.03307,
,,19.943307,,15.55514,7.865567,544.7162,0.04727945,0.5638162,17.09111,
,,19.360977,,15.61928,7.86164,543.3411,0.06166017,0.7363465,17.19777,
,,18.744647,,15.90264,7.861217,540.1112,0.1355179,1.629199,17.47914,
,,18.665037,,15.93266,7.861074,539.7468,0.1433039,1.723284,17.50986,
,,18.344927,,16.23458,7.861066,538.1652,0.295073,3.572709,17.71325,
,,18.293057,,16.2739,7.861068,537.8969,0.3123357,3.782809,17.74277,
,,17.660377,,16.47146,7.86377,533.9714,0.4146419,5.043574,18.00508,
,,17.050797,,16.91548,7.867498,529.4538,0.6770158,8.31725,18.02273,
,,16.970197,,16.96527,7.867957,528.8798,0.7059946,8.678422,18.03263,
,,16.566857,,17.43095,7.87725,525.5312,1.016139,12.61814,18.20986,
,,16.507457,,17.49161,7.878278,525.0535,1.05542,13.1151,18.22672,
,,15.838027,,17.69496,7.89162,521.0994,1.211465,15.1191,18.6033,
,,15.252197,,18.18745,7.904552,516.2641,1.544428,19.47883,18.54812,
,,15.172417,,18.24223,7.90626,515.6579,1.58207,19.97069,18.55455,
,,14.869357,,18.57088,7.941772,513.8422,1.996937,25.38265,18.52007,
,,14.820347,,18.62022,7.945642,513.4993,2.048859,26.06074,18.51345,
,,14.327117,,18.84321,7.992511,510.1599,2.254991,28.81612,18.81516,
,,14.270097,,18.87605,7.998236,509.7837,2.289713,29.27526,18.84213,
,,13.685107,,19.12384,8.017899,507.5106,2.644655,33.98815,19.17783,
,,13.384067,,19.39652,8.069645,506.3778,3.000677,38.78162,19.38068,
,,13.335857,,19.43089,8.075219,506.1949,3.046695,39.39886,19.41103,
,,12.877457,,19.57904,8.132407,503.3692,3.246175,42.10532,19.63552,
,,12.824337,,19.60257,8.139625,503.0666,3.277421,42.52805,19.66351,
,,12.293217,,19.87163,8.206883,500.8276,3.628499,47.34414,20.09359,
,,11.985097,,20.08973,8.233375,499.1442,3.941756,51.6585,20.33352,
,,11.937867,,20.11989,8.238149,498.9091,3.983891,52.23816,20.37102,
,,11.429677,,20.24903,8.286929,497.1265,4.138213,54.40291,20.8388,
,,11.371017,,20.26899,8.292413,496.8989,4.164011,54.76198,20.8913,
,,10.861727,,20.45466,8.323988,495.6166,4.502198,59.43147,21.58252,
,,10.595107,,20.59396,8.339097,494.8851,4.852146,64.23201,21.90945,
,,10.552387,,20.61378,8.341588,494.7717,4.897667,64.85744,21.9642,
,,10.050837,,20.69081,8.358374,493.0378,5.054634,67.03933,22.78753,
,,9.994287,,20.70306,8.360473,492.8488,5.082183,67.4199,22.87645,
,,9.439367,,20.75905,8.369427,492.2571,5.391882,71.6066,23.58408,
,,9.143397,,20.83603,8.372395,492.1925,5.662683,75.32031,24.01425,
,,9.096527,,20.8454,8.372971,492.1683,5.69945,75.82247,24.07891,
,,8.495227,,20.8872,8.369464,491.3845,5.821109,77.50565,25.02841,
,,8.428607,,20.89393,8.369228,491.3099,5.842257,77.79716,25.13247,
,,7.825407,,20.94017,8.357942,490.7531,6.063272,80.81468,27.51753,
,,7.496037,,20.99594,8.353035,490.3181,6.238526,83.24112,28.03634,
,,7.444317,,21.00293,8.352182,490.2581,6.263075,83.57955,28.16629,
,,6.819417,,21.02448,8.344631,490.1317,6.348069,84.74992,29.13747,
,,6.749027,,21.02854,8.34375,490.1043,6.362356,84.94719,29.24487,
,,6.147117,,21.03523,8.33225,491.3083,6.494722,86.72839,29.36034,
,,5.870927,,21.0581,8.327264,490.2809,6.589902,88.03933,29.71882,
,,5.824587,,21.06056,8.326401,490.2206,6.603602,88.22664,29.75649,
,,5.265357,,21.07259,8.316734,489.7625,6.640665,88.74279,30.57175,
,,5.203257,,21.07457,8.315654,489.6782,6.647514,88.83775,30.66193,
,,4.599087,,21.14294,8.299877,489.8911,6.70082,89.66965,32.10387,
,,4.275697,,21.21621,8.297868,489.3033,6.733686,90.24287,32.72242,
,,4.224397,,21.22567,8.29715,489.2531,6.738701,90.327,32.83053,
,,3.636287,,21.25566,8.292669,488.9239,6.76471,90.72944,34.86142,
,,3.569837,,21.26114,8.292199,488.8704,6.768307,90.78754,35.07333,
,,3.025067,,21.26781,8.281085,488.7632,6.884762,92.36183,36.51577,
,,2.736197,,21.2982,8.27761,488.9386,6.994171,93.88609,37.69018,
,,2.690847,,21.30136,8.276909,488.9521,7.008622,94.08582,37.84887,
,,2.206187,,21.29049,8.267129,488.0084,7.062175,94.78415,37.51505,
,,2.150717,,21.29056,8.266094,487.9255,7.071066,94.90355,37.52323,
,,1.541277,,21.27953,8.247991,489.6164,7.135577,95.75421,38.68793,
,,1.208017,,21.30832,8.238303,490.0131,7.196708,96.62996,39.46211,
,,1.155557,,21.31081,8.236759,490.1106,7.204839,96.74406,39.57846,
,,0.621332,,21.31947,8.214969,488.9982,7.220637,96.97251,41.12765,
,,0.559307,,21.32141,8.212571,488.9047,7.224308,97.02547,41.30194,
,,0,,21.35435,8.19473,488.9102,7.244334,97.35452,42.66537,
,,,,,,,,,,
,9/15/2021,28.474576,847,16.2377,8.185853,463.5341,0.02027541,0.2459757,-286.6871,
,,28.544836,,16.24198,8.189566,466.2553,0.02027434,0.2415232,-287.3558,
,,28.565036,,16.24244,8.190189,466.5285,0.02026688,0.2409933,-287.4487,
,,28.215656,,16.24903,8.177485,498.8808,0.01858674,0.2250704,-287.5627,
,,28.184096,,16.24981,8.176399,502.0697,0.01842679,0.2233871,-287.5972,
,,28.027086,,16.22877,8.16597,534.0995,0.01728446,0.2096563,-286.9825,
,,27.511696,,16.22463,8.1527,533.7837,0.01661495,0.2020588,-286.6731,
,,27.456416,,16.2235,8.151073,534.7602,0.01651421,0.2008805,-286.6222,
,,26.946656,,16.21388,8.138091,531.6094,0.01623889,0.1970116,-286.1837,
,,26.879066,,16.21285,8.13638,531.2158,0.01619047,0.1963916,-286.1315,
,,26.370386,,16.20192,8.129708,528.6468,0.01579017,0.1914706,-285.8532,
,,26.084396,,16.20673,8.115426,527.9268,0.01555568,0.1898581,-285.3766,
,,26.040126,,16.20685,8.11383,527.7747,0.01551955,0.1895389,-285.3215,
,,25.404076,,16.1964,8.098091,526.6747,0.01570385,0.1905403,-284.4969,
,,25.334046,,16.19561,8.096081,526.5497,0.01571381,0.1905888,-284.4013,
,,24.760596,,16.21018,8.086311,525.8459,0.01543797,0.1872463,-284.0163,
,,24.493096,,16.20632,8.065362,523.2231,0.01547085,0.1859099,-283.2705,
,,24.448856,,16.20645,8.063004,522.9442,0.01546431,0.1856637,-283.1859,
,,23.943426,,16.21336,8.052469,520.5573,0.01536368,0.1861462,-282.6345,
,,23.886676,,16.21385,8.050711,520.2335,0.01535583,0.1861498,-282.5552,
,,23.399866,,16.2212,8.045685,522.5315,0.01533493,0.1859999,-281.8948,
,,23.153266,,16.21092,8.034466,521.1428,0.01550477,0.1870552,-281.4932,
,,23.113646,,16.21014,8.033201,521.0862,0.01552111,0.1871528,-281.4323,
,,22.617636,,16.21897,8.02379,522.3972,0.01553023,0.1882676,-280.8015,
,,22.562276,,16.21941,8.022484,522.4659,0.01553759,0.1884142,-280.7278,
,,22.061756,,16.2468,8.017062,522.4988,0.01549715,0.1880738,-279.9816,
,,21.792236,,16.28477,8.008115,521.6567,0.01496719,0.1802546,-279.5394,
,,21.749956,,16.28939,8.007069,521.5714,0.01491392,0.1794742,-279.4721,
,,21.263516,,16.37001,8.000568,520.1134,0.01425848,0.1733291,-278.3907,
,,21.208276,,16.37907,7.99963,519.942,0.01417613,0.1724508,-278.2726,
,,20.591456,,16.46816,7.995071,518.0921,0.01405489,0.1713675,-276.8582,
,,20.277116,,16.69468,7.985828,515.4157,0.0123053,0.1507515,-275.9898,
,,20.226906,,16.71964,7.984783,515.0954,0.01213123,0.1487074,-275.8603,
,,19.736446,,16.84695,7.976305,510.8098,0.01140708,0.1402071,-274.3484,
,,19.679616,,16.86722,7.975166,510.3054,0.01127401,0.1386406,-274.1754,
,,19.142886,,16.99064,7.976969,507.2244,0.01082802,0.1335061,-272.7285,
,,18.850696,,17.10886,7.986371,507.774,0.01003269,0.1240019,-271.4681,
,,18.804916,,17.12449,7.987381,507.7355,0.009939867,0.1228989,-271.2982,
,,18.235686,,17.13546,7.996544,506.749,0.009765276,0.1207683,-267.9828,
,,18.171956,,17.14058,7.997772,506.6855,0.00972016,0.1202244,-267.6232,
,,17.662586,,17.20593,8.009631,504.6169,0.01000309,0.1238961,-264.9501,
,,17.429876,,17.23982,8.049472,505.2196,0.0100837,0.1249846,-263.2962,
,,17.391306,,17.24538,8.053782,505.2132,0.01010116,0.1252155,-263.0521,
,,16.943726,,17.25708,8.094042,504.6519,0.01091965,0.1353957,-259.2213,
,,16.893666,,17.25928,8.099357,504.6262,0.01100077,0.1364073,-258.8,
,,16.407456,,17.22418,8.124323,505.1325,0.01169127,0.1448637,-254.7637,
,,16.107276,,17.17936,8.167696,504.2566,0.01297757,0.160648,-252.84,
,,16.062456,,17.17374,8.172731,504.1888,0.01312567,0.1624644,-252.5246,
,,15.559446,,17.18681,8.216251,500.1256,0.01335218,0.1653122,-248.7501,
,,15.501906,,17.18648,8.221923,499.705,0.01341936,0.166143,-248.3319,
,,14.846506,,17.57877,8.250628,501.2143,0.01137669,0.1419933,-245.0809,
,,14.520906,,17.90426,8.298534,498.5855,0.009568452,0.1202078,-242.9955,
,,14.468176,,17.94968,8.304146,498.3859,0.009320191,0.1172318,-242.691,
,,14.008616,,18.03959,8.357182,497.0009,0.009075098,0.11437,-238.7049,
,,13.954246,,18.05927,8.363989,496.7668,0.00898972,0.1133488,-238.2534,
,,13.494946,,18.15645,8.377896,494.3971,0.009315031,0.1176854,-234.0428,
,,13.217756,,18.23697,8.381264,493.2784,0.01070641,0.1354979,-231.8275,
,,13.176066,,18.24812,8.38193,493.0909,0.01085603,0.1374188,-231.4775,
,,12.704786,,18.28568,8.406132,497.2058,0.0109574,0.1388105,-227.6698,
,,12.650486,,18.29199,8.408526,497.5691,0.01101857,0.1396019,-227.2335,
,,12.188666,,18.39088,8.416123,491.7759,0.01176566,0.1493708,-223.1035,
,,11.943246,,18.39071,8.426608,490.7799,0.01276204,0.162026,-221.2298,
,,11.904666,,18.39391,8.427838,490.4763,0.01288664,0.1636177,-220.9158,
,,11.360576,,18.40203,8.43222,492.7296,0.01336216,0.169684,-217.2995,
,,11.300466,,18.4025,8.433001,492.9243,0.01344316,0.1707145,-216.8943,
,,10.766806,,18.42339,8.436304,493.2466,0.01419057,0.1802822,-212.9398,
,,10.496526,,18.50738,8.435506,489.3024,0.01483931,0.1888452,-211.1276,
,,10.453286,,18.51642,8.435529,488.9132,0.01492795,0.1900055,-210.825,
,,10.017946,,18.59332,8.44132,488.1291,0.01493657,0.1904153,-207.5223,
,,9.967626,,18.60382,8.441837,487.9037,0.01495931,0.1907449,-207.149,
,,9.471746,,18.6183,8.443536,489.9008,0.01582731,0.2018711,-203.3165,
,,9.213726,,18.70481,8.449796,490.0796,0.0168087,0.2147765,-201.4173,
,,9.172636,,18.71374,8.450459,490.1638,0.01693558,0.2164346,-201.1092,
,,8.674796,,18.71981,8.442448,488.0782,0.01713449,0.2190034,-197.4266,
,,8.618746,,18.72356,8.441901,487.8786,0.01718797,0.2197028,-197.0128,
,,8.201036,,18.7642,8.444164,487.9483,0.01814548,0.2321424,-193.3957,
,,7.943566,,18.80726,8.448075,488.9638,0.01910799,0.2446795,-191.5941,
,,7.905416,,18.81291,8.448563,489.0724,0.01923511,0.2463343,-191.3045,
,,7.459486,,18.84777,8.457599,487.074,0.01986467,0.2545785,-188.1135,
,,7.408346,,18.85261,8.458613,486.9194,0.01995823,0.2558015,-187.7509,
,,6.959666,,18.88893,8.463072,488.4632,0.02050873,0.2630377,-184.2783,
,,6.719726,,18.89577,8.466636,486.4692,0.02109383,0.2705741,-182.5153,
,,6.682256,,18.89756,8.467113,486.3268,0.02116889,0.2715454,-182.2341,
,,6.280526,,18.92279,8.469678,486.5795,0.02153885,0.2764342,-178.9786,
,,6.234356,,18.92535,8.47004,486.5257,0.02159445,0.2771617,-178.6105,
,,5.788176,,18.96915,8.46681,486.6142,0.02197962,0.2823743,-175.6355,
,,5.731606,,18.97417,8.466603,486.6342,0.0220289,0.2830371,-175.2365,
,,5.349966,,18.9167,8.462649,489.3459,0.02351251,0.3017413,-173.7433,
,,4.855886,,18.93106,8.44844,485.6015,0.02305851,0.2960033,-170.6342,
,,4.795586,,18.93045,8.446946,485.3346,0.02306536,0.2960881,-170.2854,
,,4.297376,,18.90314,8.443769,486.1563,0.02410222,0.3092249,-167.478,
,,4.232556,,18.90117,8.442944,486.0902,0.02418093,0.3102228,-167.0999,
,,4.059176,,18.92207,8.431611,484.5262,0.02447866,0.3141615,-165.7433,
,,3.466886,,18.8995,8.416565,485.4404,0.02505465,0.3214052,-162.5207,
,,3.404166,,18.89809,8.414724,485.471,0.02511873,0.3222175,-162.1651,
,,2.927626,,18.88315,8.406087,489.8686,0.02585577,0.3315859,-159.0865,
,,2.860906,,18.88088,8.404725,490.3181,0.02594619,0.3327322,-158.6782,
,,2.624056,,18.87582,8.391738,492.1981,0.02676424,0.343194,-157.1473,
,,2.083956,,18.90358,8.376819,488.4761,0.02666831,0.3421536,-154.3615,
,,2.023616,,18.90609,8.374929,488.1754,0.02668644,0.3424035,-154.0403,
,,1.506586,,18.92815,8.36616,487.719,0.02702033,0.3468588,-151.0383,
,,1.437866,,18.93128,8.364786,487.5316,0.02704692,0.3472234,-150.6528,
,,1.153616,,19.02211,8.314778,492.4045,0.0271028,0.3485684,-149.8352,
,,0.669216,,19.05801,8.320592,489.9795,0.02737067,0.3522735,-149.1522,
,,0.612904,,19.0645,8.319503,489.9022,0.02739805,0.3526717,-149.06,
,,0.069001,,19.059,8.301391,476.9704,0.04711409,0.6063669,-147.79,
,,0,,19.05969,8.299993,475.6541,0.04897848,0.6303656,-147.6466,
,,,,,,,,,,
,10/5/2021,25.745102,815,16.39432,8.332409,517.6771,4.616051,55.63571,-171.2722,
,,25.749882,,16.39645,8.335663,517.5402,4.611699,55.57911,-171.3352,
,,25.754662,,16.39859,8.338918,517.4033,4.607346,55.5225,-171.3982,
,,25.759442,,16.40072,8.342173,517.2664,4.602993,55.46589,-171.4612,
