Site Name,West Newton,,,,Date,6/21/2021,
Date Time,Depth (m),Temp (°C),pH (SU),Spc. Cond. (µS/cm),RDO (mg/L),RDO (%Sat),ORP (mV)
7/20/2021 14:21,9.340082,16.07509,7.136266,1857.602,0.1076604,1.328848,-139.3506
7/20/2021 14:21,9.313722,16.07484,7.136183,1861.283,0.106593,1.315685,-139.4107
7/20/2021 14:21,9.287362,16.0746,7.1361,1864.965,0.1055256,1.302522,-139.4708
7/20/2021 14:21,8.737142,16.17093,7.125774,1869.204,0.1004435,1.187032,-141.6742
7/20/2021 14:21,8.704722,16.1758,7.125217,1869.575,0.09990826,1.178053,-141.7921
7/20/2021 14:21,8.672292,16.18067,7.12466,1869.945,0.09937304,1.169073,-141.91
7/20/2021 14:21,8.201132,16.54094,7.104289,1884.999,0.09079108,1.125008,-145.2547
7/20/2021 14:21,8.167822,16.56026,7.103108,1885.876,0.09026568,1.12059,-145.4586
7/20/2021 14:21,8.134522,16.57957,7.101927,1886.754,0.08974029,1.116172,-145.6624
7/20/2021 14:21,7.610772,17.05266,7.098949,1893.869,0.0806545,1.01357,-146.6209
7/20/2021 14:21,7.576262,17.08279,7.098405,1894.51,0.08004303,1.007759,-146.7326
7/20/2021 14:22,7.541742,17.11292,7.09786,1895.15,0.07943156,1.001948,-146.8444
7/20/2021 14:22,7.507232,17.14305,7.097316,1895.79,0.07882008,0.996137,-146.9562
7/20/2021 14:22,7.338022,17.73229,7.101944,1907.2,0.07646139,0.9773134,-145.7959
7/20/2021 14:22,7.319162,17.77043,7.102101,1907.9,0.07616147,0.9743288,-145.7602
7/20/2021 14:22,7.300302,17.80857,7.102258,1908.6,0.07586157,0.9713441,-145.7245
7/20/2021 14:22,6.865162,18.01585,7.124186,1909.186,0.1062458,1.36675,-143.1897
7/20/2021 14:22,6.840622,18.03776,7.125331,1909.448,0.1076634,1.385457,-143.0451
7/20/2021 14:22,6.816082,18.05968,7.126476,1909.709,0.1090809,1.404164,-142.9005
7/20/2021 14:22,6.791542,18.08159,7.127621,1909.97,0.1104985,1.422871,-142.7559
7/20/2021 14:22,6.324762,18.49621,7.148439,1925.055,0.4070406,5.292859,-140.8568
7/20/2021 14:22,6.293692,18.52045,7.149871,1925.786,0.4216307,5.483253,-140.7147
7/20/2021 14:22,6.262622,18.54469,7.151304,1926.518,0.4362208,5.673647,-140.5727
7/20/2021 14:22,6.076292,19.07244,7.276383,1936.458,1.199135,15.78726,-139.8087
7/20/2021 14:22,6.058122,19.10587,7.282726,1937.229,1.241086,16.3422,-139.734
7/20/2021 14:22,6.039942,19.13929,7.289068,1938,1.283037,16.89713,-139.6593
7/20/2021 14:22,6.021762,19.17271,7.29541,1938.771,1.324988,17.45207,-139.5847
7/20/2021 14:22,5.416762,19.36785,7.451538,1940.914,1.826653,24.16525,-137.3889
7/20/2021 14:22,5.384112,19.38792,7.461417,1941.224,1.865759,24.68659,-137.2684
7/20/2021 14:22,5.351472,19.408,7.471295,1941.534,1.904866,25.20793,-137.1478
7/20/2021 14:22,5.078652,19.73913,7.598132,1930.539,2.978087,39.69484,-134.7752
7/20/2021 14:22,5.053322,19.75931,7.607382,1930.06,3.040168,40.53157,-134.6164
7/20/2021 14:22,5.027982,19.7795,7.616632,1929.58,3.102248,41.3683,-134.4576
7/20/2021 14:22,4.810312,19.98004,7.651762,1919.422,4.132532,55.34609,-132.8595
7/20/2021 14:22,4.794112,19.99658,7.656038,1918.707,4.204639,56.32287,-132.7336
7/20/2021 14:22,4.777922,20.01311,7.660313,1917.992,4.276747,57.29964,-132.6077
7/20/2021 14:22,4.761722,20.02965,7.664589,1917.276,4.348855,58.27642,-132.4818
7/20/2021 14:22,4.180622,20.09916,7.71741,1913.768,4.747972,63.72198,-129.7517
7/20/2021 14:22,4.148332,20.1069,7.720743,1913.382,4.789299,64.28406,-129.5872
7/20/2021 14:22,4.116042,20.11465,7.724076,1912.995,4.830626,64.84613,-129.4228
7/20/2021 14:22,3.621872,20.26462,7.757413,1912.322,5.463637,73.57114,-126.5049
7/20/2021 14:22,3.586732,20.27337,7.760109,1912.21,5.502632,74.10725,-126.3107
7/20/2021 14:22,3.551592,20.28212,7.762806,1912.098,5.541627,74.64337,-126.1165
7/20/2021 14:22,3.516442,20.29087,7.765502,1911.986,5.580622,75.17949,-125.9223
7/20/2021 14:22,2.979862,20.49566,7.780295,1911.597,6.083443,82.2931,-123.0748
7/20/2021 14:22,2.944442,20.50831,7.781709,1911.559,6.120192,82.80802,-122.881
7/20/2021 14:22,2.909012,20.52097,7.783123,1911.522,6.156942,83.32294,-122.6871
7/20/2021 14:22,2.650642,20.63971,7.80219,1909.601,6.522688,88.48971,-121.4036
7/20/2021 14:22,2.627702,20.64933,7.803407,1909.502,6.550008,88.87566,-121.2859
7/20/2021 14:22,2.604752,20.65896,7.804625,1909.402,6.577327,89.2616,-121.1683
7/20/2021 14:22,2.193372,20.72551,7.828741,1909.208,6.716532,91.27207,-118.9593
7/20/2021 14:22,2.168222,20.73098,7.830292,1909.163,6.730196,91.46724,-118.8261
