Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,,
Boysen Reservoir - RPD,,,,,,,,,,,
,,4.565004,,22.27391,8.434938,471.3604,6.907305,94.41826,14.41975,,
,,4.533654,,22.27607,8.434029,471.3421,6.912758,94.48206,14.52465,,
,,4.502294,,22.27823,8.43312,471.3238,6.918212,94.54587,14.62955,,
,,4.249274,,22.34786,8.424129,471.3767,6.973485,95.44109,15.4292,,
,,4.228344,,22.35157,8.423548,471.3748,6.977583,95.50394,15.49617,,
,,4.207414,,22.35529,8.422966,471.3729,6.981682,95.56681,15.56314,,
,,3.721234,,22.39806,8.408688,470.4176,7.013768,96.08595,17.28659,,
,,3.692864,,22.40142,8.407823,470.372,7.016363,96.12772,17.38538,,
,,3.664494,,22.40479,8.406958,470.3265,7.018958,96.16949,17.48418,,
,,3.636124,,22.40815,8.406093,470.281,7.021553,96.21126,17.58297,,
,,3.161014,,22.4466,8.386028,469.6903,7.106409,97.44686,19.36025,,
,,3.128514,,22.4493,8.384784,469.6427,7.111094,97.51612,19.47988,,
,,3.096014,,22.45199,8.383539,469.5951,7.115778,97.58539,19.59951,,
,,2.822764,,22.4851,8.371528,469.3234,7.191194,98.68523,20.62639,,
,,2.800024,,22.48749,8.370545,469.2984,7.196538,98.76318,20.71162,,
,,2.777284,,22.48987,8.369564,469.2735,7.201883,98.84111,20.79686,,
,,2.754554,,22.49226,8.368583,469.2485,7.207228,98.91904,20.88209,,
,,2.210874,,22.52504,8.337541,469.1406,7.263905,99.76143,23.55752,,
,,2.179254,,22.5273,8.335817,469.1293,7.268206,99.82491,23.706,,
,,2.147624,,22.52957,8.334093,469.118,7.272508,99.88839,23.85448,,
,,1.542674,,22.55762,8.30839,469.3417,7.302072,100.3493,25.22233,,
,,1.503114,,22.55963,8.306552,469.3496,7.30467,100.3889,25.34086,,
,,1.463564,,22.56163,8.304715,469.3576,7.307268,100.4285,25.45939,,
,,0.909494,,22.62233,8.295712,469.0797,7.372508,101.4447,27.63153,,
,,0.871144,,22.62582,8.294789,469.0703,7.376254,101.503,27.76302,,
,,0.832794,,22.6293,8.293867,469.0609,7.379999,101.5613,27.89451,,
,,0.794454,,22.63279,8.292944,469.0515,7.383744,101.6196,28.026,,
,,0.557434,,22.72923,8.265721,469.2388,7.437302,102.5485,28.46347,,
,,0.534824,,22.73509,8.264233,469.2421,7.441194,102.6136,28.5286,,
,,0.512213,,22.74094,8.262744,469.2455,7.445086,102.6788,28.59373,,
,,0.028404,,22.78249,8.239262,469.0599,7.463836,103.0202,30.84403,,
,,0,,22.78642,8.237575,469.0546,7.465817,103.0554,30.96267,,
,,,,,,,,,,,
,8/11/2021,11.234316,1017,19.64573,7.786581,507.2174,3.014713,39.18525,62.40352,,
,,11.216896,,19.52377,7.7472,507.9113,2.528943,32.7916,62.36226,,
,,10.737516,,19.46819,7.707069,508.9058,2.313509,29.96378,62.62912,,
,,10.689316,,19.45879,7.701822,509.0272,2.27723,29.48698,62.655,,
,,10.077736,,19.70755,7.754166,519.9632,1.992518,25.92829,60.5008,,
,,10.001646,,19.72939,7.75773,521.0361,1.958881,25.50375,60.3071,,
,,9.696266,,20.42189,7.837749,521.9355,2.017649,26.63875,59.42252,,
,,9.103566,,20.64126,7.99766,517.5656,2.206255,29.26016,58.70233,,
,,9.036426,,20.685,8.015933,517.1317,2.22757,29.56581,58.60843,,
,,8.391656,,20.95984,8.199842,509.669,2.714809,36.23384,57.61403,,
,,8.308786,,20.99232,8.223232,508.7791,2.768761,36.97255,57.49523,,
,,7.973086,,21.24842,8.274907,504.7185,3.543125,47.55971,57.68148,,
,,7.918016,,21.28238,8.28654,504.062,3.633305,48.79284,57.66155,,
,,7.162896,,21.33536,8.336124,503.4529,4.088846,54.97104,58.07652,,
,,6.434536,,21.38652,8.347054,502.8715,4.865533,65.47988,58.72379,,
,,6.339166,,21.39315,8.349872,502.7936,4.954768,66.6877,58.7987,,
,,5.946656,,21.43949,8.349162,502.386,5.556175,74.85136,59.31655,,
,,5.883706,,21.44563,8.349431,502.3277,5.64081,75.99895,59.38871,,
,,5.152076,,21.46578,8.343622,502.2564,5.862062,79.01183,60.24604,,
,,4.347996,,21.50342,8.331712,501.9017,6.230817,84.04572,61.43943,,
,,4.245146,,21.50774,8.330367,501.865,6.273971,84.63455,61.58409,,
,,3.814256,,21.53282,8.321792,501.5702,6.555681,88.47594,62.05685,,
,,3.744326,,21.53657,8.320544,501.5294,6.595658,89.02129,62.14536,,
,,2.976546,,21.54912,8.304132,501.4336,6.695268,90.38815,63.16954,,
,,2.178196,,21.57421,8.284459,501.1621,6.854817,92.58871,64.5987,,
,,2.075026,,21.57706,8.282005,501.1328,6.873516,92.84638,64.77168,,
,,1.623506,,21.58688,8.274297,501.2332,6.99545,94.51084,65.34644,,
,,1.552476,,21.58872,8.272861,501.2325,7.012617,94.74603,65.45237,,
,,0.773136,,21.60128,8.250466,501.2225,7.06185,95.97718,67.02161,,
,,0.092178,,21.61731,8.235922,501.3853,7.13078,96.45682,67.96487,,
,,0,,21.61929,8.233756,501.4005,7.139047,96.54333,68.10921,,
,,,,,,,,,,,
,9/15/2021,10.980833,1001,18.83776,8.635399,459.4364,6.137364,78.65811,-32.32116,,
,,10.986303,,18.83506,8.631063,459.4854,6.114573,78.3612,-32.17838,,
,,10.908273,,18.80768,8.594822,460.1356,5.857667,75.02405,-30.04293,,
,,10.901403,,18.80433,8.589977,460.2086,5.828626,74.64638,-29.78931,,
,,10.685123,,18.81194,8.56827,460.1608,5.613188,71.90543,-28.50688,,
,,10.334623,,18.81184,8.567172,460.4041,5.498803,70.44048,-26.44152,,
,,10.293143,,18.81212,8.566381,460.4253,5.480762,70.21011,-26.19894,,
,,10.030533,,18.83506,8.593864,457.5622,5.357974,68.66499,-24.3781,,
,,9.992743,,18.83723,8.596495,457.2987,5.342478,68.46913,-24.13001,,
,,9.843093,,18.8495,8.628499,456.8959,5.531552,70.91083,-23.45994,,
,,9.578663,,18.85421,8.645046,456.6734,5.664353,72.62023,-21.80355,,
,,9.547973,,18.85504,8.647686,456.6434,5.683819,72.87101,-21.62058,,
,,9.252833,,18.87292,8.652541,456.393,5.913052,75.83546,-20.04359,,
,,9.215323,,18.87475,8.65355,456.3626,5.939397,76.17585,-19.83384,,
,,9.072903,,18.88086,8.651908,456.2136,6.141646,78.77702,-19.00964,,
,,8.834563,,18.88249,8.647713,456.0237,6.245387,80.11008,-17.42522,,
,,8.806843,,18.88282,8.647244,456.0004,6.261889,80.32217,-17.24428,,
,,8.617243,,18.89909,8.644772,455.5882,6.404893,82.1874,-15.94166,,
,,8.590633,,18.90068,8.64438,455.5422,6.421886,82.40838,-15.76026,,
,,8.450493,,18.90103,8.63518,455.4199,6.537273,83.88967,-15.1008,,
,,8.270323,,18.90143,8.627536,455.5118,6.586634,84.52383,-13.73979,,
,,8.248223,,18.90145,8.626481,455.5174,6.595118,84.63274,-13.58612,,
,,7.931683,,18.91753,8.623231,456.608,6.671618,85.64191,-12.35904,,
,,7.895293,,18.91906,8.622658,456.7153,6.680425,85.75755,-12.19372,,
,,7.786453,,18.93958,8.613148,456.6736,6.75167,86.71159,-11.61207,,
,,7.530873,,18.95865,8.609314,455.8121,6.788835,87.22282,-10.48241,,
,,7.502653,,18.96118,8.608621,455.7234,6.794734,87.30318,-10.35359,,
,,7.214133,,18.96578,8.606586,454.6443,6.857615,88.12466,-9.02228,,
,,7.177463,,18.96689,8.606271,454.5089,6.864798,88.21941,-8.855034,,
,,7.085493,,18.97963,8.601143,454.1456,6.923362,88.99528,-8.468373,,
,,6.847443,,18.97802,8.596453,453.0317,6.954593,89.39369,-7.514211,,
,,6.821413,,18.97828,8.595823,452.9117,6.959482,89.45699,-7.409649,,
,,6.594723,,18.98981,8.594217,451.4968,7.012567,90.15652,-6.517076,,
,,6.564533,,18.99081,8.593902,451.3215,7.01862,90.2358,-6.397738,,
,,6.411533,,19.01795,8.590656,449.3319,7.073942,90.99749,-5.774818,,
,,6.156703,,19.01265,8.593028,447.0848,7.106205,91.40227,-4.890232,,
,,6.126853,,19.01299,8.593158,446.7996,7.111106,91.46589,-4.783807,,
,,5.807993,,19.02506,8.59282,445.3073,7.190228,92.50603,-3.871044,,
,,5.768343,,19.02594,8.592886,445.0858,7.198858,92.61868,-3.752347,,
,,5.631983,,19.03984,8.593088,444.5873,7.272184,93.58739,-3.142509,,
,,5.325423,,19.03806,8.588213,444.2867,7.310537,94.07751,-2.272599,,
,,5.291073,,19.03831,8.587737,444.2427,7.316602,94.15598,-2.167696,,
,,5.005063,,19.05861,8.583955,443.7409,7.376484,94.97078,-1.081074,,
,,4.966553,,19.06044,8.583407,443.6834,7.38345,95.06446,-0.9460006,,
,,4.802953,,19.06203,8.573831,443.6296,7.43821,95.76859,-0.4432488,,
,,4.572443,,19.06568,8.565597,443.5421,7.464468,96.11369,0.510879,,
,,4.544643,,19.06605,8.564467,443.5327,7.468767,96.16959,0.6201693,,
,,4.313413,,19.07051,8.559995,443.5871,7.5147,96.77089,1.521003,,
,,4.283093,,19.07107,8.55928,443.5894,7.519929,96.83939,1.641619,,
,,4.188233,,19.08185,8.553057,443.5443,7.546474,97.20578,2.034583,,
,,3.873643,,19.0849,8.54373,443.364,7.566898,97.47519,3.033082,,
,,3.839763,,19.08555,8.542607,443.3445,7.5697,97.51269,3.143395,,
,,3.638493,,19.10743,8.541865,443.1357,7.599922,97.94559,3.696387,,
,,3.607713,,19.10961,8.541462,443.109,7.603496,97.99599,3.785497,,
,,3.440913,,19.12169,8.530684,443.0251,7.63148,98.38413,4.460056,,
,,3.110273,,19.1135,8.523839,443.1624,7.641915,98.50246,5.3925,,
,,3.072203,,19.11304,8.522798,443.1737,7.643816,98.52617,5.506711,,
,,2.721033,,19.12195,8.517546,443.412,7.661339,98.76182,6.470966,,
,,2.675393,,19.12246,8.516811,443.4404,7.663328,98.78769,6.596643,,
,,2.552773,,19.13882,8.508032,444.2681,7.692197,99.19725,7.110866,,
,,2.235473,,19.13683,8.500767,444.6015,7.707722,99.39373,8.105318,,
,,2.200623,,19.13715,8.499763,444.6616,7.710186,99.42635,8.219154,,
,,1.928263,,19.13656,8.492643,444.6046,7.736839,99.77093,9.421826,,
,,1.890683,,19.13639,8.491712,444.6096,7.7399,99.81024,9.572816,,
,,1.717953,,19.15667,8.484798,444.7613,7.768021,100.2143,9.821088,,
,,1.354133,,19.15405,8.470675,444.711,7.777159,100.3269,10.70406,,
,,1.312823,,19.15447,8.469059,444.7113,7.778947,100.3508,10.79745,,
,,0.926563,,19.15434,8.46522,445.2355,7.806111,100.7013,11.95563,,
,,0.876413,,19.15418,8.464341,445.2835,7.808978,100.738,12.09868,,
,,0.739124,,19.17871,8.44984,445.2583,7.823252,100.9693,12.62973,,
,,0.52655,,19.17675,8.448698,445.1321,7.82887,101.0374,13.11523,,
,,0.501627,,19.17737,8.448102,445.1176,7.829843,101.0511,13.17881,,
,,0.050682,,19.17968,8.443861,445.5616,7.851112,101.3326,14.6366,,
,,0,,19.17977,8.443448,445.5992,7.853314,101.3614,14.79268,,
,,,,,,,,,,,
,10/5/2021,10.669837,945,15.23022,8.532267,518.9319,8.157329,96.11185,-60.13276,,
,,10.614597,,15.22909,8.533753,519.0783,8.019523,94.42352,-59.66723,,
,,10.613727,,15.22788,8.533997,519.0972,7.999633,94.18661,-59.62769,,
,,10.514167,,15.22751,8.533999,519.0461,7.868864,92.64929,-59.48388,,
,,10.079507,,15.21257,8.526505,519.1716,7.806812,91.88924,-58.7562,,
,,10.034497,,15.21111,8.525764,519.1814,7.797921,91.78175,-58.68391,,
,,9.677417,,15.21374,8.530184,520.3544,7.717022,90.83234,-58.19716,,
,,9.627657,,15.21346,8.530334,520.4719,7.707757,90.72248,-58.12498,,
,,9.445517,,15.32732,8.540208,521.6609,7.678832,90.60542,-57.77324,,
,,9.145067,,15.35906,8.555957,521.2518,7.668124,90.54129,-57.08002,,
,,9.110037,,15.36598,8.557827,521.248,7.666288,90.53323,-57.00072,,
,,8.775317,,15.39783,8.56194,520.401,7.712728,91.14323,-56.54272,,
,,8.732607,,15.40177,8.56289,520.3005,7.716924,91.20043,-56.47412,,
,,8.586547,,15.45537,8.57225,520.0272,7.77939,92.05114,-56.31546,,
,,8.279917,,15.45905,8.574673,519.6163,7.823346,92.57892,-56.01411,,
,,8.245337,,15.46109,8.575216,519.5684,7.829641,92.65768,-55.97979,,
,,7.928517,,15.45594,8.57675,518.5371,7.927124,93.79668,-55.55737,,
,,7.887377,,15.45541,8.576957,518.4246,7.93786,93.92226,-55.50646,,
,,7.683977,,15.51881,8.593496,516.6449,8.043239,95.29843,-55.41243,,
,,7.303627,,15.56941,8.613617,511.8658,8.101596,96.09388,-55.10787,,
,,7.259817,,15.57656,8.616167,511.3326,8.110577,96.2149,-55.07557,,
,,6.881007,,15.65869,8.641103,508.8024,8.263547,98.20512,-54.59073,,
,,6.830977,,15.66834,8.644215,508.3852,8.280136,98.42236,-54.53298,,
,,6.683107,,15.73468,8.652335,507.6705,8.48007,100.9377,-54.0907,,
,,6.655357,,15.74393,8.654016,507.5136,8.504471,101.2471,-54.03134,,
,,6.343067,,15.76643,8.659883,506.252,8.622853,102.706,-53.89917,,
,,6.065807,,15.78689,8.663145,505.8125,8.826489,105.181,-53.68478,,
,,6.028227,,15.78962,8.66367,505.7262,8.85013,105.4691,-53.65967,,
,,5.836967,,15.79742,8.661489,505.9925,9.015556,107.4551,-53.75359,,
,,5.808867,,15.79889,8.661399,506.0024,9.038661,107.7336,-53.7545,,
,,5.427727,,15.80551,8.657605,505.6556,9.109048,108.588,-53.25444,,
,,5.092397,,15.80598,8.652319,505.4998,9.247283,110.2369,-52.24143,,
,,5.046957,,15.80626,8.651683,505.4723,9.263052,110.4255,-52.12604,,
,,4.876727,,15.81643,8.646184,505.4974,9.36075,111.6205,-52.29905,,
,,4.848537,,15.81739,8.645473,505.4942,9.375025,111.7936,-52.27714,,
,,4.535567,,15.82757,8.640263,505.3239,9.405297,112.1791,-51.85471,,
,,4.164997,,15.84577,8.632696,505.0518,9.470791,113.0032,-51.19956,,
,,4.118397,,15.84786,8.631788,505.0195,9.478154,113.0959,-51.12066,,
,,3.924627,,15.8639,8.627192,504.8631,9.518985,113.6188,-50.56915,,
,,3.892897,,15.86607,8.626483,504.8384,9.525221,113.6981,-50.49339,,
,,3.558277,,15.86633,8.619474,504.8233,9.553216,114.0329,-50.13692,,
,,3.215527,,15.88658,8.612358,504.4671,9.588444,114.5054,-48.95622,,
,,3.171257,,15.88856,8.611438,504.4319,9.592772,114.5621,-48.82985,,
,,3.000837,,15.878,8.608525,504.8338,9.637382,115.0653,-48.92876,,
,,2.972507,,15.87776,8.607997,504.8585,9.64286,115.1299,-48.89436,,
,,2.610007,,15.88795,8.59753,504.6212,9.654177,115.29,-48.52241,,
,,2.289567,,15.90014,8.590141,504.5273,9.659767,115.3868,-47.66299,,
,,2.246087,,15.9017,8.589066,504.5093,9.660652,115.4013,-47.56557,,
,,2.047577,,15.88614,8.58496,504.574,9.700078,115.8373,-47.43213,,
,,2.017377,,15.88513,8.584311,504.5768,9.703966,115.8815,-47.38754,,
,,1.667007,,15.87396,8.5774,507.7646,9.721951,116.0697,-46.55136,,
,,1.332937,,15.85881,8.571955,506.2278,9.765504,116.5464,-45.56614,,
,,1.288607,,15.85699,8.571192,506.185,9.770302,116.5986,-45.4413,,
,,1.078467,,15.89524,8.565962,505.1129,9.796476,117.0126,-44.9996,,
,,1.046567,,15.8983,8.565274,504.9479,9.800562,117.0694,-44.92192,,
,,0.667618,,15.917,8.558115,504.4148,9.805686,117.1776,-43.86004,,
,,0.251931,,15.93407,8.547137,504.4633,9.83028,117.5087,-44.136,,
,,0.199045,,15.93628,8.545839,504.4503,9.83282,117.544,-44.12662,,
,,0,,15.94827,8.54156,504.5581,9.857759,117.8796,-43.86177,,
