Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,,
Boysen Reservoir - RPD,,,,,,,,,,,
,,9,,19.1,8.07,271,6.87,87.9,383,,
,,10,,19,8.05,262,6.84,87.4,384,,
,,11,,19,8.03,257,6.77,86.3,385,,
,,12,,18.9,8.02,263,6.68,85.2,385,,
,,13,,18.8,8.03,275,6.7,,,,"Battery died half way through, missing values approximated as 85 and 385. "
,,,,,,,,,,,
,7/20/2015,0,850,21,8.28,375,6.51,86.6,342,,
,,0.5,,21,8.3,375,6.65,88.6,345,,
,,1,,20.94,8.25,375,6.39,84.8,348,,
,,1.5,,20.93,8.24,375,6.32,84,350,,
,,2,,20.93,8.24,375,6.25,83.1,353,,
,,2.5,,20.88,8.22,376,6.13,81.4,355,,
,,3,,20.87,8.2,376,3.03,80.1,355,,
,,4,,20.84,8.19,379,5.85,77.6,359,,
,,5,,20.8,8.19,380,5.9,78.2,361,,
,,6,,20.76,8.2,379,5.93,78.7,362,,
,,7,,20.71,8.2,381,5.98,79.2,364,,
,,8,,20.69,8.2,383,5.98,79.1,366,,
,,9,,20.43,8.19,431,5.68,74.7,367,,
,,10,,20.34,8.22,440,5.74,75.3,368,,
,,11,,19.08,7.93,413,4.71,60.4,369,,
,,12,,17.94,7.78,439,3.58,44.9,367,,
,,12.8,,16.6,7.59,473,0.99,12.2,355,,
,,,,,,,,,,,
,9/14/2015,0,924,19.2,8.7,450,9.42,122.8,361,,
,,0.5,,19.2,8.71,451,9.39,122.6,360,,
,,1,,19.2,8.71,450,9.39,122.4,360,,
,,1.5,,19.2,8.71,450,9.38,122.3,360,,
,,2,,19.2,8.7,451,9.36,121.5,360,,
,,2.5,,19.2,8.69,450,9.25,120.3,360,,
,,3,,19.2,8.69,450,9.21,120,360,,
,,4,,19.2,8.68,450,9.16,119.4,360,,
,,5,,19.2,8.67,451,9.11,118.7,360,,
,,6,,19.2,8.65,451,9.02,117.1,361,,
,,7,,19.1,8.59,451,8.44,109.4,362,,
,,8,,18.9,8.47,464,7.35,94.8,363,,
,,9,,18.7,8.37,487,6.75,87,365,,
,,10,,18.7,8.36,493,6.65,85.5,365,,
,,11,,18.6,8.32,506,6.37,82,366,,
,,,,,,,,,,,
,6/7/2016,0,910,19.23,8.2,226,7.31,94.7,238,,
,,0.5,,18.19,8.16,227,7.18,90.8,239,,
,,1,,17.96,8.13,234,7.12,89.6,240,,
,,1.5,,17.89,8.13,235,7.09,89.2,239,,
,,2,,17.88,8.15,238,7.07,89.1,240,,
,,2.5,,17.47,8.14,264,7.01,87.6,242,,
,,3,,17.21,8.15,295,6.95,86.6,243,,
,,4,,16.51,8.14,349,6.93,84.8,244,,
,,5,,15.76,8.2,452,7.03,84.5,247,,
,,6,,14.53,8.22,513,7.17,84.5,249,,
,,7,,14.25,8.2,509,7.11,83,249,,
,,8,,13.93,8.15,514,6.7,77.4,250,,
,,9,,13.48,8.06,527,5.97,68.2,250,,
,,10,,13.38,8.02,529,5.59,64,251,,
,,11,,13.18,7.99,534,5.3,60.1,251,,
,,,,,,,,,,,
,7/25/2016,0,845,22.27,8.34,430,7.29,99.8,484,,
,,0.5,,22.31,8.34,430,7.28,99.7,484,,
,,1,,22.32,8.33,429,7.29,99.8,485,,
,,1.5,,22.31,8.33,430,7.27,99.5,485,,
,,2,,22.31,8.32,431,7.3,99.9,486,,
,,2.5,,22.3,8.32,430,7.26,99.5,486,,
,,3,,22.3,8.32,430,7.27,99.4,486,,
,,4,,22.22,8.3,430,7.11,97.1,486,,
,,5,,22.16,8.24,437,6.87,93.5,487,,
,,6,,22.12,8.19,449,6.66,90.7,488,,
,,7,,21.83,8.19,440,6.6,89.6,488,,
,,8,,21.66,8.17,441,6.46,87.1,489,,
,,9,,21.41,8.14,445,6.29,84.6,489,,
