Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Twin Lakes - D,,,,,,,,,
,,,,,,,,,
,6/6/2017,0,12:07:00,4.06,6.02,16.2,8.95,93.5,352
,,0.5,,3.75,6.07,16.1,9.05,93.2,353
,,1,,3.56,6.12,16.3,9,92.5,353
,,1.5,,3.61,6.17,16.3,8.97,92.2,353
,,2,,3.57,6.21,16.1,8.98,92.4,353
,,2.5,,3.56,6.24,16.1,8.96,92.1,354
,,3,,3.55,6.27,16.1,8.97,92.2,354
,,4,,3.53,6.29,16.1,9,92.4,355
,,5,,3.54,6.32,16.1,8.97,92.1,355
,,6,,3.56,6.33,16,8.96,92,356
,,7,,3.56,6.34,16,8.93,91.8,357
,,8,,3.61,6.35,16,8.9,91.6,357
,,9,,3.64,6.35,16,8.9,91.8,358
,,10,,3.61,6.35,16,8.91,91.8,359
,,11,,3.64,6.35,16,8.85,91.3,359
,,12,,3.7,6.35,16,8.87,91.5,360
,,13,,3.71,6.36,16.1,8.84,91.4,360
,,14,,3.71,6.36,16,8.85,91.3,361
,,15,,3.71,6.36,16.1,8.84,91.3,361
,,,,,,,,,
,7/17/2017,0,9:03:00,16.47,6.87,17,7.12,99.3,345
,,0.5,,16.47,7.02,17,7.09,99.1,345
,,1,,16.45,7.07,17,7.09,99.1,346
,,1.5,,16.45,7.1,17,7.11,99.3,346
,,2,,16.44,7.13,17,7.09,99,346
,,2.5,,16.44,7.15,17,7.09,99.1,347
,,3,,16.44,7.16,17,7.09,99,347
,,4,,14.28,6.78,15.4,7.36,95.1,351
,,5,,8.89,6.6,15.3,7.26,85.2,358
,,6,,7.95,6.48,15.2,7.15,82,360
,,7,,7.41,6.42,15.1,7.09,79.9,362
,,8,,7.01,6.4,15.1,7.11,79.8,364
,,9,,6.69,6.27,15.1,6.99,77.9,365
,,10,,6.48,6.36,15.2,6.94,76.8,366
,,11,,6.36,6.36,15.2,6.36,75.7,367
,,12,,6.19,6.35,15.2,6.35,75,368
,,13,,6.04,6.34,15,6.34,74,369
,,14,,5.99,6.33,15.1,6.33,72.5,369
,,15,,5.9,6.31,15.2,6.31,69.5,370
,,18.5,,5.83,6.29,15.3,6.29,62,371
,,,,,,,,,
,9/12/2017,0,9:45:00,14.04,7.21,18.8,7.58,100,374
,,0.5,,13.99,7.15,18.8,7.55,99.6,374
,,1,,13.93,7.14,18.8,7.57,99.8,374
,,1.5,,13.92,7.15,18.8,7.59,99.9,374
,,2,,13.83,7.14,18.8,7.59,99.9,374
,,2.5,,13.78,7.14,18.8,7.57,99.5,375
,,3,,13.67,7.12,18.6,7.55,98.9,375
,,4,,11.06,6.68,16.9,6.28,77.5,379
,,5,,7.13,6.26,16.2,5.13,57.5,385
,,6,,6.53,6.04,16.2,5,55.2,389
,,7,,6.3,5.98,15.9,4.68,51.4,390
,,8,,6.2,5.95,16.1,4.52,49.5,392
,,9,,6.12,5.94,16.2,4.39,47.6,392
,,10,,6.12,5.93,16.2,4.25,46.4,393
,,11,,6.06,5.91,16.2,4.09,44.6,
,,15,,5.97,5.88,16.5,3.57,38.8,396
