Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
,,,,,,,,
6/18/2019,0,14:20,7.34,6.18,18.9,9.55,106.8,382
,0.5,,7.23,6.02,18.7,9.46,105.9,377
,1,,6.82,6.04,18.7,9.51,105.2,378
,1.5,,6.75,6.09,16.8,9.51,105.1,379
,2,,6.71,6.13,18.9,9.52,105,378
,2.5,,6.67,6.12,18.7,9.51,104.5,378
,3,,6.66,6.15,18.8,9.48,104.5,378
,4,,6.61,6.16,18.9,9.45,104,379
,5,,6.33,6.17,18.5,9.42,102.9,380
,6,,6.16,6.16,18.8,9.37,101.9,380
,7,,6.14,6.15,18.9,9.34,101.6,380
,8,,5.91,6.14,19,9.29,100.5,380
,9,,5.51,6.1,18.9,9.27,99.1,383
,10,,5.14,6.06,18.7,9.24,97.9,384
,11,,5.06,6.06,18.3,9.22,97.6,384
,12,,5.03,6.04,18.2,9.21,97.4,385
,13,,4.99,6.05,17.9,9.25,97.6,386
,14,,4.97,6.05,17.7,9.25,97.6,386
,15,,4.96,6.05,17.5,9.26,97.6,387
,20,,4.8,6.04,17.6,9.21,96.8,388
,,,,,,,,
7/24/2019,0,7:50,18.07,7.39,17.7,6.96,99.3,334
,0.5,,18.09,7.32,17.6,6.98,100,333
,1,,18.09,7.31,17.8,6.95,99.4,332
,1.5,,18.08,7.29,17.8,6.97,99.5,331
,2,,18.08,7.27,17.8,6.97,99.4,330
,2.5,,18.08,7.26,18,6.94,99.1,329
,3,,18.08,7.26,17.7,6.98,99.6,328
,4,,16.4,7.14,17.8,7.06,96.8,331
,5,,14.47,7,18,7.11,94.2,337
,6,,12.7,6.87,17.3,7.07,89.9,347
,7,,11.95,6.8,17,7.09,88.4,356
,8,,11.15,6.76,16.8,7.13,87.2,361
,9,,10.61,6.74,16.6,7.1,85.6,367
,10,,10.11,6.73,16.2,7.14,85.5,375
,11,,9.46,6.73,16.2,7.14,84,383
,12,,9.24,6.75,16.3,7.14,83.6,390
,13,,8.9,6.75,16.3,7.1,82.1,395
,14,,8.73,6.75,16.2,7.13,82.3,398
,15,,8.43,6.74,16.4,6.96,79.7,402
,16,,8.18,6.73,16.5,6.85,78.2,407
,,,,,,,,
9/10/2019,0,800,14.28,7.57,20.5,6.9,91.6,313
,0.5,,14.27,7.32,20.3,6.89,91.3,312
,1,,14.28,7.24,20.5,6.9,91.5,311
,1.5,,14.27,7.19,20.5,6.86,91.1,310
,2,,14.26,7.17,20.5,6.89,91.5,309
,2.5,,14.25,7.15,20.3,6.87,91.3,310
,3,,14.25,7.14,20.1,6.9,91.5,312
,4,,14.24,7.13,20.5,6.9,91.6,318
,5,,14.22,7.13,20.3,6.89,91.3,323
,6,,14.22,7.12,20.5,6.91,91.8,327
,7,,14.2,7.12,20.3,6.88,91.2,329
,8,,14.18,7.12,20.2,6.92,91.8,332
,9,,14.16,7.12,20.3,6.87,91.1,337
,10,,14.14,7.11,20.5,6.86,90.9,338
,11,,14.09,7.12,20.5,6.9,91.2,340
,12,,14.1,7.11,20.7,6.9,91.1,341
,13,,13.85,7.08,20.6,6.8,89.5,342
,14,,13.45,6.84,21.4,5.93,77.3,345
,15,,11.36,6.36,22.3,2.72,33.4,354
