Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Upper Sunshine Reservoir - LPD,,,,,,,,,
,,,,,,,,,
,,2,,15.26,8.46,284,7.43,94.5,554
,,2.5,,15.21,8.49,284,7.41,94.2,554
,,3,,15.18,8.49,284,7.41,94.1,555
,,4,,15.12,8.5,283,7.39,93.7,557
,,5,,15.08,8.49,283,7.38,93.5,558
,,6,,15.07,8.5,284,7.37,93.4,559
,,7,,15.04,8.51,284,7.36,93.1,561
,,8,,14.98,8.49,284,7.18,90.8,562
,,9,,14.92,8.47,284,7.06,89.2,564
,,10,,14.86,8.47,284,6.97,87.8,567
,,11,,14.81,8.46,284,6.92,87.1,568
,,12,,14.69,8.44,283,6.8,85.1,569
,,13,,14.57,8.41,283,6.54,81.8,571
,,14,,14.45,8.37,284,6.4,79.5,572
,,15,,14.08,8.28,284,6.06,73.4,575
,,20,,11.74,7.78,281,3.66,42.8,581
,,25,,10.18,7.66,280,3.2,36.3,591
,,29,,9.76,7.61,280,2.93,32.9,445
