Date ,Time,Depth (M),Temp (?C),pH,Cond (µg/cm),DO (mg/L),%DO,ORP
5/27/2020,1245,0,14.12,8.55,465.8,8.79,101.5,238.7
,,0.5,14.06,8.55,458.4,8.81,101.6,238.2
,,1,14.04,8.55,570.4,8.8,101.6,238.1
,,1.5,14.02,8.54,571.6,8.8,101.6,239
,,2,13.99,8.49,576.6,8.8,101.5,240.8
,,2.5,13.85,8.45,578.2,8.77,100.9,244.7
,,3,13.81,8.38,579.7,8.75,100.3,250.3
,,4,13.62,8.21,582.6,8.64,98.8,258.1
,,5,13.57,8.05,584.8,8.61,98.3,268.9
,,6,13.52,8,587.9,8.6,98,265.8
,,7,13.45,8.11,589.7,8.57,97.5,260.1
,,8,12.6,8.23,591.7,8.18,91.3,251.3
,,,,,,,,
6/24/2020,1205,0,22.07,8.72,502.9,9.93,135.2,218.9
,,0.5,21.32,8.74,505.4,10.05,135.1,219.1
,,1,21.01,8.73,507.3,10.02,133.9,220.8
,,1.5,20.86,8.68,509.2,9.98,133.08,225.4
,,2,20.78,8.64,509.3,9.96,132.6,226.1
,,2.5,20.5,8.44,510.2,10.22,135,238.6
,,3,20.07,8.44,511,10.41,136.8,239.6
,,4,19.04,8.41,510.9,10.27,131.8,240.8
,,5,18.6,8.42,511.1,9.77,124.2,237.1
,,6,18.2,8.65,506.8,9.23,116.6,223.6
,,7,18.11,8.7,508.3,9.1,114.8,220.7
,,8,17.89,8.64,508.7,8.13,101.1,219.4
,,8.5,17.71,8.62,507.2,7.82,97.95,216
,,,,,,,,
7/15/2020,1300,0,22.01,8.63,681.26,8.73,118.96,178.5
,,0.5,22.02,8.63,681.02,8.72,118.43,177.1
,,1,21.35,8.64,679.6,8.71,116.85,175.4
,,1.5,20.95,8.65,679.25,8.71,116.21,174.5
,,2,20.81,8.63,680.1,8.71,115.71,173.8
,,2.5,20.73,8.63,681.49,8.72,115.8,172.9
,,3,20.66,8.55,681.6,8.66,114.79,177.7
,,4,20.61,8.54,680.61,8.58,113.46,179
,,5,20.56,8.34,681.26,8.52,112.71,188.4
,,6,20.53,8.21,681.62,8.48,112.04,195.2
,,7,20.52,8.35,682.3,8.4,111.08,174.2
,,8,20.48,8.58,682.91,8.37,110.49,170.1
,,9,20.47,8.63,684.35,8.36,110.41,167
,,,,,,,,
8/26/2020,1215,0,23.21,8.88,631.67,8.1,112.88,108.2
,,0.5,22.74,8.89,633.55,8.11,112.28,109.2
,,1,22.78,8.89,633.96,8.1,112.08,110.4
,,1.5,22.58,8.87,633.7,8.11,111.88,111.6
,,2,22.42,8.83,633.14,8.1,111.46,115.8
,,2.5,22.37,8.79,637.6,8.1,111.41,119.3
,,3,22.29,8.83,637.08,8.08,111,116.2
,,4,22.25,8.79,637.15,8.01,109.93,121.9
,,5,22.23,8.64,636.45,7.85,107.53,129.7
,,6,22.2,8.57,637.68,7.59,103.8,133.1
,,7,22.01,8.53,640.38,6.66,90.15,130.6
,,8,21.8,8.53,643.49,6.18,82.4,128.2
,,9,21.55,8.53,645.59,5.35,72.37,121.5
,,9.5,21.24,8.52,649.78,4.07,54.78,107.1
,,,,,,,,
9/22/2020,1150,0,17.82,8.45,521.29,8.11,101.27,109.3
,,0.5,17.82,8.46,521.13,8.11,101.26,109.7
,,1,17.76,8.44,520.91,8.12,101.28,110.6
,,1.5,17.74,8.44,520.87,8.14,101.35,112.3
,,2,17.69,8.42,520.8,8.15,101.4,113.3
,,2.5,17.66,8.34,520.83,8.13,101.09,119.6
,,3,17.64,8.32,520.85,8.13,101.1,119.5
,,4,17.63,8.35,520.88,8.14,101.24,120
,,5,17.61,8.2,520.97,8.11,100.82,129.6
,,6,17.6,8.13,521.01,8.07,100.28,133.1
,,7,17.59,8.14,521.03,8.05,99.98,132
,,8,17.59,8.22,521.03,8.02,99.57,127.6
,,9,17.5,8.35,521.84,7.65,94.9,118
,, ,,,,,,
10/13/2020,1140,0,14.81,8.62,532.27,9.67,113.55,166.5
,,0.5,14.97,8.61,529.91,9.68,113.88,167.2
,,1,14.88,8.62,528.75,9.77,114.72,167.6
,,1.5,14.82,8.59,537.31,9.74,114.21,169.1
