Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Boulder Lake - LPD,,,,,,,,,
,6/11/2019,0,7:53,8.23,7.4,20,9.11,100.2,443
,,0.5,,8.22,7.36,20,9.09,100.1,444
,,1,,8.21,7.29,20,9.07,99.7,445
,,1.5,,8.2,7.29,20.1,9.09,99.9,445
,,2,,8.21,7.3,20,9.09,99.9,445
,,2.5,,8.21,7.28,20.1,9.06,99.9,445
,,3,,8.2,7.29,20,9.08,99.8,445
,,4,,8.21,7.28,20,9.07,99.8,446
,,5,,8.16,7.28,19.9,9.09,100,447
,,6,,8.06,7.26,19.7,9.11,99.9,448
,,7,,7.6,7.24,19.1,9.18,99.6,449
,,8,,7.17,7.23,19.3,9.23,98.9,450
,,9,,7.2,7.2,19.7,9.18,97.9,451
,,10,,6.94,7.19,19.9,9.1,97.1,452
,,11,,6.6,7.17,19.5,9.18,96.9,453
,,12,,6.56,7.16,19.5,9.2,97.1,453
,,13,,6.51,7.17,19.4,9.19,96.9,454
,,14,,6.07,7.15,19.6,9.16,95.5,456
,,15,,5.82,7.12,19.6,9.04,93.6,457
,,20,,5.56,7.09,19.5,9.1,93.6,459
,,25,,5.47,7.06,19.8,9.05,92.9,460
,,30,,5.11,7.05,20.4,8.92,90.7,461
,,40,,4.73,7.01,20.8,8.74,88,463
,,50,,4.61,6.99,20.9,8.65,86.9,464
,,60,,4.56,6.98,21.1,8.61,86.3,465
,,70,,4.39,6.96,21.1,8.53,85.3,466
,,73*,,4.4,7.58,100.4,7.04,69.8,40
,,* not included in graphs,,,,,,,
,,,,,,,,,
,7/15/2019,0,8:17,15.51,6.98,16,8.01,104.6,415
,,0.5,,15.5,6.97,16,8.02,104.8,414
,,1,,15.47,6.94,15.9,7.99,104.8,413
,,1.5,,15.44,6.9,16,8,104.4,416
,,2,,15.32,6.93,16,8.04,104.5,413
,,2.5,,15.33,6.88,16,8.01,104.4,414
,,3,,15.3,6.89,15.9,8.04,104.6,414
,,4,,15.3,6.89,16,8.04,104.7,414
,,5,,14.54,6.85,15.4,8.03,102.6,416
,,6,,12.93,6.66,15.4,8.08,99.3,422
,,7,,11.36,6.59,16.4,8.2,97.8,424
,,8,,10.62,6.51,16.7,8.3,96.9,427
,,9,,9.55,6.47,17.1,8.36,95.1,429
,,10,,9.07,6.42,17.3,8.36,94.1,431
,,11,,8.98,6.41,17.3,8.35,93.8,431
,,12,,8.32,6.4,17.8,8.39,92.7,432
,,13,,8.16,6.39,17.6,8.42,92.7,432
,,14,,8.03,6.38,17.8,8.42,92.3,433
,,15,,7.81,6.39,17.9,8.42,92.0,434
,,20,,7.08,6.44,18.3,8.51,91.3,433
,,25,,6.25,6.38,18.8,8.54,89.8,435
,,30,,6.30,6.58,19.2,8.40,88.2,457
,,40,,5.24,6.46,19.6,8.38,85.9,459
,,50,,5.14,6.42,19.8,8.32,85.0,460
,,60,,4.95,6.37,19.9,8.29,84.2,461
,,70,,4.89,6.37,20.1,8.19,83.1,460
,,75.0,,4.87,6.59,20.2,3.35,39.6,185
,,,,,,,,,
,9/9/2019,0,8:40,15.73,6.94,17.8,7.51,99.2,422
,,0.5,,15.84,7.14,18.0,7.48,99.2,412
,,1,,16.00,7.20,18.0,7.46,99.3,406
,,1.5,,16.02,7.25,18.0,7.46,99.1,404
,,2,,16.02,7.27,18.0,7.45,99.0,402
,,2.5,,16.03,7.29,17.8,7.46,99.2,399
,,3,,16.03,7.32,18.0,7.43,98.7,396
,,4,,16.02,7.32,18.0,7.48,99.4,395
,,5,,15.95,7.32,18.0,7.48,99.4,394
,,6,,15.88,7.29,17.8,7.47,99.1,394
,,7,,15.63,7.26,17.9,7.48,98.6,395
,,8,,14.83,7.15,17.7,7.42,96.1,400
,,9,,13.20,6.99,17.7,7.48,93.8,406
,,10,,12.82,6.90,17.7,7.48,92.9,408
,,11,,11.90,6.84,17.6,7.44,90.3,412
,,12,,10.77,6.77,17.7,7.48,88.1,415
,,13,,10.43,6.73,17.7,7.46,87.6,417
,,14,,9.67,6.71,17.8,7.52,86.5,418
,,15,,9.25,6.69,17.8,7.53,86.0,420
,,20,,8.11,6.66,18.2,7.69,85.2,422
,,25,,7.05,6.65,18.5,7.85,84.8,423
,,30,,6.13,6.64,19.1,7.94,83.8,424
,,40,,5.33,6.63,19.7,7.91,81.6,425
,,50,,5.22,6.62,19.7,7.78,80.2,426
,,60,,5.16,6.61,19.9,7.68,78.9,427
,,70,,5.14,6.60,19.9,7.56,77.7,428
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
