Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Fremont Lake - RTPD,,,,,,,,,
,6/10/2019,0,13:40,9.13,7.27,19,9.16,102.9,464
,,0.5,,9.06,7.25,18.9,9.18,102.8,463
,,1,,8.95,7.25,18.9,9.19,102.5,463
,,1.5,,8.81,7.25,19,9.21,102.7,463
,,2,,8.43,7.26,18.8,9.21,101.9,462
,,2.5,,8.4,7.25,18.8,9.21,101.8,463
,,3,,8.27,7.25,18.8,9.2,101.4,464
,,4,,7.9,7.2,18.6,9.16,99.9,465
,,5,,7.82,7.15,18.6,9.12,99.4,467
,,6,,7.75,7.14,18.5,9.13,99.5,468
,,7,,7.3,7.12,18.7,9.22,99.3,469
,,8,,7.01,7.12,18.6,9.24,98.9,470
,,9,,6.92,7.08,18.3,9.18,97.7,472
,,10,,6.52,7.04,18.3,9.11,96.1,473
,,11,,6.2,7,18.3,9.07,94.9,475
,,12,,5.92,6.96,18.5,9.09,94.1,477
,,13,,5.71,6.94,18.5,9.11,94,479
,,14,,5.55,6.93,18.7,9.11,93.7,480
,,15,,5.24,6.92,18.6,9.1,92.9,481
,,20,,4.7,6.87,18.8,9.01,90.7,484
,,25,,4.53,6.82,19,8.83,88.6,486
,,30,,4.47,6.76,18.8,8.75,87.4,489
,,40,,4.23,6.67,19,8.45,84,494
,,50,,4.07,6.63,19,8.38,82.9,498
,,60,,4,6.62,19.3,8.27,81.7,498
,,70,,3.96,6.59,19.2,8.23,81.2,500
,,80,,3.92,6.59,19.2,8.17,80.6,501
,,90,,3.91,6.58,19.2,8.15,80.3,502
,,,,,,,,,
,7/16/2019,0,8:36,15.38,7.52,18.8,8.21,108.1,440
,,0.5,,15.4,7.54,18.7,8.2,107.9,435
,,1,,15.38,7.53,18.7,8.2,107.8,435
,,1.5,,15.36,7.54,19,8.19,107.5,435
,,2,,15.37,7.53,18.7,8.21,108.1,436
,,2.5,,15.22,7.53,18.1,8.23,107.8,435
,,3,,14.23,7.53,17.9,8.58,110,435
,,4,,13.22,7.54,16.9,8.83,110.5,436
,,5,,12.61,7.49,16.3,8.83,109,439
,,6,,11.9,7.46,16.1,8.94,108.6,440
,,7,,10.72,7.42,16.6,9.24,109.2,442
,,8,,9.88,7.37,17.1,9.36,108.4,445
,,9,,9.14,7.37,17.4,9.46,107.8,445
,,10,,8.21,7.33,18,9.61,107.2,447
,,11,,7.58,7.32,18.3,9.72,106.5,448
,,12,,7.27,7.29,18.5,9.85,107.2,450
,,13,,7.01,7.31,18.8,9.87,106.9,449
,,14,,6.94,7.31,18.8,9.86,106.4,450
,,15,,6.72,7.32,18.7,9.89,106.1,450
,,20,,5.49,7.21,19.2,9.48,98.4,454
,,25,,4.76,7.09,19.5,9.11,93.0,459
,,30,,4.54,6.97,19.6,8.93,90.7,464
,,40,,4.34,6.89,19.8,8.86,89.1,467
,,50,,4.20,6.86,19.6,8.75,88.0,468
,,60,,4.13,6.82,19.8,8.71,87.3,469
,,70,,4.11,6.79,19.8,8.68,87.1,470
,,80,,4.07,6.79,19.7,8.63,86.6,471
,,90,,4.03,6.79,19.7,8.57,85.9,471
,,97,,4.01,6.77,19.7,8.52,85.4,472
,,,,,,,,,
,9/10/2019,0,9:50,16.18,7.45,18.3,7.76,104.1,489
,,0.5,,16.21,7.46,18.3,7.73,104.0,488
,,1,,16.21,7.45,18.3,7.75,104.0,486
,,1.5,,16.22,7.44,18.4,7.74,103.9,486
,,2,,16.23,7.45,18.3,7.74,104.1,484
,,2.5,,16.21,7.44,18.3,7.71,103.8,484
,,3,,16.22,7.44,18.3,7.72,103.7,482
,,4,,16.22,7.44,18.3,7.73,104.1,482
,,5,,16.22,7.41,18.3,7.73,103.8,481
,,6,,16.23,7.42,18.3,7.76,104.3,
,,7,,16.24,7.40,18.4,7.75,104.0,479
,,8,,16.24,7.41,18.4,7.73,104.1,477
,,9,,16.18,7.43,18.1,7.78,104.7,477
,,10,,15.57,7.40,18.1,8.05,107.6,477
,,11,,14.41,7.43,18.0,9.16,116.1,477
,,12,,10.65,7.51,18.1,9.98,118.3,477
,,13,,9.88,7.50,18.2,10.09,116.6,477
,,14,,8.83,7.45,18.4,10.18,114.2,479
,,15,,7.65,7.38,18.5,10.05,110.5,481
,,20,,5.7,7.01,19.2,9.44,99.5,492
,,25,,4.87,6.80,19.3,9.03,93,498
,,30,,4.51,6.70,19.6,8.84,89.8,501
,,40,,4.31,6.63,19.7,8.72,88.2,502
,,50,,4.25,6.60,19.6,8.64,87.4,503
,,60,,4.19,6.59,19.6,8.64,87.3,503
,,70,,4.16,6.58,19.6,8.64,87.0,504
,,80,,4.12,6.56,19.6,8.58,86.4,504
,,90,,4.10,6.55,19.7,8.50,85.6,505
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
