Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Sevenmile Lake - D,,,,,,,,,,
,6/18/2013,0,834,16.81,8.18,4281,6.48,87.1,313,
,,0.5,835,16.8,8.1,4281,6.45,86.7,314,
,,1,836,16.8,8.07,4281,6.44,86.5,310,
,,1.5,837,16.8,8.04,4283,6.4,86.2,306,
,,2,839,16.76,8,4284,6.32,85,287,
,,2.5,839,16.68,7.98,4280,6.23,83.6,261,
,,3,840,16.5,7.96,4278,5.96,79.8,268,
,,,,,,,,,,
,7/30/2013,0,839,17.5,8.12,4500,5.02,67.9,304,
,,0.5,840,17.47,8.08,4500,4.96,67.2,303,
,,1,841,17.46,8.2,4500,5,67.8,300,
,,1.5,842,17.46,8.17,4501,4.99,67.5,297,
,,2,843,17.46,8.13,4501,4.94,67,293,
,,2.5,844,17.35,8.1,4505,4.53,61.2,269,
,,3,845,17.22,8.01,4509,3.13,41.7,173,
,,,,,,,,,,
,9/17/2013,0,1041,15.3,7.99,4882,6.85,89.3,327,
,,0.5,1042,15.4,7.75,4879,6.83,89.2,327,
,,1,1043,15.4,7.81,4877,6.81,89,325,
,,1.5,1044,15.3,7.8,4882,6.85,89.2,324,
,,2,1045,15.2,7.77,4882,6.32,82,324,
,,2.5,1049,14.7,7.55,4882,0.58,7.4,98,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
