Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Seminoe Reservoir - RPD,,,,,,,,,
,6/11/2013,0,8:51,16.62,7.95,216.8,7.54,100.2,291
,,0.5,8:51,16.44,7.97,216.4,7.51,99.3,291
,,1,8:51,16.3,8.03,215.5,7.47,98.6,291
,,1.5,8:51,16.19,8,213.8,7.43,87.9,291
,,2,8:51,16.1,7.95,215.4,7.36,96.6,292
,,2.5,8:51,16,7.94,216.7,7.36,96.6,293
,,3,8:51,15.91,7.91,217.1,7.32,95.7,293
,,4,8:51,15.66,7.89,218.8,7.31,95.1,294
,,5,8:51,15.38,7.87,223.8,7.27,94.2,295
,,6,8:51,13.89,7.82,238.8,7.28,91.3,297
,,7,8:51,12.19,7.85,291.4,7.67,92.6,300
,,8,8:51,11.35,7.85,318.5,7.74,91.6,301
,,9,8:51,11.07,7.83,332.4,7.66,90.1,302
,,10,8:51,10.96,7.82,337.8,7.7,90.4,302
,,11,8:51,10.84,7.84,347.9,7.68,89.6,302
,,12,8:51,10.74,7.84,350.6,7.6,88.8,303
,,,,,,,,,
,7/8/2013,0,13:31,22.28,8.16,324,7.2,104.8,414
,,0.5,13:32,22.27,8.17,325.2,7.19,104.6,415
,,1,13:33,22.29,8.19,326.1,7.2,104.8,415
,,1.5,13:34,22.29,8.38,326.2,7.16,104.3,413
,,2,13:35,22.29,8.24,326.1,7.17,104.5,413
,,2.5,13:35,22.24,8.22,328,7.17,104.1,413
,,3,13:35,22.13,8.19,333.2,7.01,102.2,413
,,4,13:36,20.45,7.93,321.6,5.63,78,417
,,5,13:37,20.04,7.87,322,5.24,72.8,419
,,6,13:37,17.55,7.56,305.7,4.88,64.3,422
,,7,13:38,16.42,7.54,303.1,5.21,68.1,423
,,8,13:38,15.47,7.45,305.4,5.21,68.2,424
,,9,13:39,15.19,7.4,307.4,4.9,60.5,425
,,10,13:40,15.01,7.36,308.3,4.3,53.6,419
,,,,,,,,,
,9/17/2013,0,8:27,17.08,8.12,398.4,7.04,92.2,333
,,0.5,8:27,17.08,8.11,398.1,6.93,91,337
,,1,8:27,17.12,8.09,397.1,6.95,91.1,340
,,1.5,8:27,17.12,8.08,397.1,6.92,90.9,343
,,2,8:27,17.11,8.07,395.6,6.88,90.3,344
,,2.5,8:27,17.09,8.07,393.4,6.85,89.9,345
,,3,8:27,17,8.05,384,6.78,88.8,346
,,4,8:27,16.76,7.99,368.7,6.6,85.9,347
,,5,8:27,16.42,7.91,344.1,6.35,82,349
,,5.5,8:27,16.34,7.82,345.1,5.58,72.1,333
,,,,,,,,,
,6/11/2014,0,750,15.1,7.36,169,7.01,88.6,368
,,0.5,,15,7.32,168,7,88.5,372
,,1,,15,7.35,168,6.98,87.9,372
,,1.5,,15,7.33,168,6.96,87.7,374
