Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Festo Lake - D,,,,,,,,,
,,,,,,,,,
,6/24/2015,0,14:52:00,25.92,9.13,1464,11.75,173.5,140
,,0.5,14:53:00,25.6,9.13,1465,11.61,171,136
,,1,14:56:00,23.11,8.96,1464,8.1,113.4,133
,,1.5,14:58:00,22.57,8.85,1457,5.68,70.1,79
,,2,15:01:00,21.68,8.37,1465,0.01,0.2,-315
,,2.5,15:03:00,21.41,8.31,1466,0,0,-340
,,,,,,,,,
,8/5/2015,0.237,12:38:06,24.19,8.25,1599,6.74,96.3,78
,,0.516,12:40:00,22.27,8.27,1599,6.59,90.7,77
,,1.07,12:41:35,21.56,7.98,1594,2.87,38.9,83
,,1.515,12:43:38,21.47,7.94,1591,2.9,39.3,81
,,1.754,12:45:18,21.42,7.94,1589,3.21,43.5,80
,,2.084,12:46:46,21.26,7.9,1587,2.59,34.9,-3
,,,,,,,,,
,9/3/2015,0.286,12:50:24,21.25,8.4,1625,8.5,115.2,141
,,0.509,12:52:00,21.20,8.4,1625,8.5,115,142
,,1.043,12:54:26,21.15,8.39,1626,8.4,113.6,142
,,1.506,12:57:19,20.98,8.38,1627,8.18,110.2,144
,,2.012,12:59:33,20.73,8.34,1627,7.63,102.4,145
,,2.505,13:02:51,20.61,8.33,1629,7.39,98.8,104
,,,,,,,,,
,6/21/2018,0,14:10:00,22.70,8.75,1482,17.67,241.9,318
,,0.5,,22.10,8.66,1516,15.65,209.3,317
,,1,,20.90,8.61,1518,13.44,177.0,316
,,1.5,,19.70,8.39,1529,8.54,109.9,316
,,2,,18.50,8.09,1523,3.53,44.7,317
,,2.4,14:20:00,18.30,7.80,1531,1.20,14.9,-15
,,,,,,,,,
,8/8/2018,0,8:15:00,21.60,8.68,1406,8.23,111.3,292
,,0.5,,21.70,8.69,1407,8.15,110.2,292
,,1,,21.60,8.70,1406,8.02,108.5,293
,,1.5,,21.60,8.69,1407,7.72,104.2,287
,,2,,21.40,8.36,1415,2.13,28.4,289
,,2.5,bottom,20.90,7.95,1426,0.00,0.0,-27
,,,,,,,,,
,9/4/2018,0,15:50:00,20.4,8.85,1483,11.78,163.7,265
,,0.5,,20.2,8.8,1480,11.47,158.7,265
,,1,,19.1,8.71,1480,8.77,119.2,266
,,1.5,,18.7,8.66,1481,7.71,103.4,266
,,2,,18.4,8.58,1480,5.92,79.3,267
,,2.5,,18,8.57,1481,5.9,78.2,267
