"","WaterbodyName","Latitude","Longitude","Year","DrainageArea_ha","month","TN_load_kg","TP_load_kg","NH4_load_kg","NO3_load_kg","PO4_load_kg","TN_flux_kg_ha","TP_flux_kg_ha","NH4_flux_kg_ha","NO3_flux_kg_ha","PO4_flux_kg_ha","TotalTrib_TN_kg","TotalTrib_TP_kg","TotalTrib_NH4_kg","TotalTrib_NO3_kg","TotalTrib_PO4_kg"
"11","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"Nov",NA,3249.18076970495,NA,NA,NA,NA,0.00285766467740203,NA,NA,NA,NA,3528.50375122406,NA,NA,NA
"12","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"Dec",18174.5679602304,6058.18932007679,NA,6171.78036982824,227.18209950288,0.0159845895221488,0.00532819650738293,NA,0.00542810019189636,0.00019980736902686,29590.9713729262,NA,NA,15060.3401463511,NA
"13","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"Jan",12874.56450954,804.660281846249,NA,7081.01048024699,362.097126830812,0.0113232198647991,0.000707701241549942,NA,0.00622777092563949,0.000318465558697474,24508.8911473143,NA,NA,16112.2106949541,NA
"14","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"Feb",13855.5871620163,1497.90131481258,NA,5354.99720045496,374.475328703144,0.0121860323644457,0.0013174089042644,NA,0.00470973683274523,0.0003293522260661,24892.3239114768,1658.91613829699,NA,13620.4602424991,NA
"15","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"Mar",32083.9083083522,4184.85760543725,1859.93671352767,8927.6962249328,1115.9620281166,0.0282178979823611,0.00368059538900362,0.0016358201728905,0.00785193682987439,0.000981492103734299,39926.7870830225,4563.76905947022,NA,13798.3985319237,NA
"16","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"Apr",NA,1890.55557359613,NA,NA,302.488891775381,NA,0.00166274955635103,NA,NA,0.000266039929016164,NA,4279.33622910401,NA,NA,364.034258439636
"17","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"May",143770.611396342,64143.8112383678,2211.85555994372,5087.26778787055,1880.07722595216,0.12644670363266,0.0564146831591867,0.00194533390204092,0.00447426797469412,0.00165353381673478,NA,69201.6820399272,NA,NA,NA
"18","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"Jun",122637.188513086,55306.9673686466,NA,13225.579153372,6733.02211444394,0.107859791925816,0.0486426512606623,NA,0.011631938344941,0.00592171406651541,147995.632240238,60723.64287938,NA,23436.608345404,9087.24317097202
"19","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"Jul",NA,24570.8490288013,NA,NA,828.896111814983,NA,0.0216101387826937,NA,NA,0.000729016730018582,NA,28010.2004056896,NA,NA,2541.29336954745
"20","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"Aug",14990.2785292452,2536.81636648765,NA,3251.73734249781,484.301306329461,0.0131839969806703,0.00223113795057498,NA,0.00285991319119156,0.000425944517837041,51731.9984070244,11105.4881530167,NA,16101.3895505075,2157.48913930189
"21","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"Sep",NA,1012.76130628856,NA,NA,NA,NA,0.000890726745216817,NA,NA,NA,NA,4843.9920826411,NA,NA,NA
"22","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"Oct",26353.5844455981,5548.12304117855,NA,3467.5769007366,NA,0.023178060172982,0.00487959161536463,NA,0.0030497447596029,NA,42473.5752836712,5841.34009562516,NA,14363.0789669682,NA
"23","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"Nov",10208.8264585158,785.294342962754,NA,1845.44170596247,NA,0.00897869488833551,0.00069066883756427,NA,0.00162307176827603,NA,21142.5134799779,993.65631386938,NA,9028.60456916016,NA
